 	possono	essere	ancora	svegli	</S>
i	0.308867	0.658316	0.0150925	0.000746083	0.0169788
s	0.676556	0.0664173	0.254522	0.0024714	3.40496e-05
ò	0.968684	0.0269657	0.0034214	0.000258743	0.000669723
z	0.388887	0.601235	0.000666142	0.00049509	0.00871615
o	0.0491877	0.859445	0.0690891	0.0220852	0.000192745
n	0.00357313	0.89671	0.0443791	0.0552484	8.9351e-05
e	0.00230017	0.762126	0.0164995	0.205432	0.0136431
ì	0.000590338	0.699168	0.103659	0.193783	0.00280008
n	0.00134764	0.614479	0.287376	0.0964169	0.000380748
e	0.00187516	0.827792	0.0820537	0.0877672	0.000512489
a	0.00011073	0.0373546	0.882657	0.0765321	0.00334512
n	0.000793505	0.00900958	0.75183	0.237618	0.000749288
k	0.0109185	0.0443993	0.141042	0.569376	0.234264
ò	5.4044e-05	0.00399326	0.00413528	0.00514448	0.986673
r	0.0237383	0.311314	0.0273092	0.0612768	0.576361
a	0.00708234	0.0610798	0.825803	0.0674971	0.0385372
a	0.00011949	0.00166521	0.749901	0.18625	0.0620646
t	0.00122846	0.00561095	0.019729	0.945467	0.0279645
s	0.00282583	0.00482166	0.00147244	0.666172	0.324708
ù	2.76418e-05	0.000242131	0.0344185	0.00498735	0.960324
n	0.00142848	0.0128243	0.0181245	0.849888	0.117735
n	0.00952733	0.0373828	0.0207904	0.899605	0.0326946
i	0.00542346	0.0136732	0.0011469	0.0098567	0.9699
t	0.000175685	0.000624129	0.0383068	0.615875	0.345018
i	8.93517e-05	0.000217521	9.43995e-05	0.0496659	0.949933
</S>	2.23116e-05	8.56426e-05	0.00281263	0.134798	0.862282
