 	avete	cucinato	le	verdure	</S>
è	0.813837	0.0603887	0.0028836	0.0604672	0.0624231
c	0.0479197	0.351047	0.00657827	0.0197564	0.574698
h	0.0937431	0.891021	0.000474263	0.00250238	0.0122595
e	0.0250817	0.973453	0.000353302	0.000530894	0.000581631
t	0.20722	0.744052	0.0378252	0.0106064	0.000296856
e	0.0312219	0.817782	0.039152	0.0881672	0.0236773
m	0.0346868	0.681552	0.279518	0.00388793	0.000354904
a	0.0031237	0.153104	0.103719	0.659221	0.0808326
r	0.0146879	0.0587584	0.86587	0.0351168	0.0255672
à	0.00155599	0.0412673	0.111967	0.823491	0.0217188
t	0.00133382	0.657872	0.033726	0.0634812	0.243587
a	0.00370488	0.241056	0.268259	0.484309	0.00267129
t	0.00614889	0.0213035	0.717391	0.150338	0.104818
a	0.00182691	0.0094794	0.200006	0.595091	0.193596
l	0.00211898	0.00265456	0.28045	0.258775	0.456002
à	0.00132623	0.0071675	0.0257922	0.884898	0.0808161
c	0.000145933	0.0211864	0.00168366	0.0507717	0.926212
h	0.00327994	0.0488013	0.0163766	0.922562	0.00898052
a	0.00255187	0.00837891	0.0222296	0.849007	0.117833
n	0.000889906	0.00121132	0.00278957	0.925445	0.0696644
a	0.00868427	0.0164418	0.0080923	0.745381	0.221401
</S>	0.000393418	0.000148636	0.00135557	0.0304978	0.967605
