 	devo	pulire	l	albero	</S>
è	0.893793	0.0159796	0.00307545	0.0481306	0.0390213
n	0.870845	0.0880713	0.000981231	0.0095484	0.0305537
a	0.595146	0.0656719	0.00577723	0.324978	0.00842679
k	0.387668	0.575261	0.0365126	0.00049834	5.9938e-05
a	0.0109519	0.679271	0.0307846	0.146232	0.132761
t	0.0316785	0.734226	0.222809	0.00589538	0.0053919
à	0.000753813	0.279755	0.0662463	0.196048	0.457196
r	0.0235289	0.0119023	0.0137527	0.832467	0.118349
o	0.0432323	0.275712	0.453589	0.222935	0.00453261
t	0.0012408	0.110237	0.842221	0.0386437	0.00765812
o	0.000162336	0.0609745	0.504298	0.190457	0.244108
n	0.000487846	0.0905555	0.61477	0.233369	0.060818
à	0.000437841	0.0340027	0.0916016	0.403705	0.470253
r	9.50821e-05	0.000214088	0.000554577	0.981581	0.0175552
b	0.000226156	0.00335976	0.00952883	0.977341	0.00954384
u	4.17343e-05	0.00503255	0.00513948	0.776032	0.213754
r	0.000360516	0.00618281	0.022226	0.0354696	0.935761
o	3.63229e-05	0.000854928	0.00145349	0.252316	0.745339
</S>	0.000235826	0.0037552	0.00879561	0.0184487	0.968765
