 	non	ho	cosa	è	da	mangiare	</S>
e	0.885688	0.0168351	0.00834039	0.0387242	0.00244387	0.018484	0.0294843
n	0.567751	0.22149	0.0280569	0.174962	0.00638856	0.0010961	0.000255624
è	0.0157791	0.441774	0.120959	0.379785	0.0265886	0.0114455	0.00366945
c	0.00901479	0.828919	0.110392	0.0503731	0.000569287	9.87151e-05	0.000633201
h	0.0341039	0.232162	0.641802	0.0863688	0.00125287	0.0028189	0.00149158
o	0.000800735	0.0351748	0.917983	0.0358929	0.00269908	0.0024566	0.00499318
t	0.00384052	0.0049081	0.595586	0.384089	0.00663144	0.00221756	0.00272703
i	0.000273834	0.00426324	0.724661	0.0677408	0.127575	0.0187876	0.0566982
è	0.000908002	0.00208605	0.0216817	0.573959	0.384135	0.0100369	0.00719372
n	0.0141929	0.0154853	0.0383891	0.477109	0.365669	0.0853528	0.00380191
a	0.0017897	0.0161905	0.0277161	0.123469	0.732542	0.0918792	0.00641365
f	0.000510227	0.000598361	0.000493956	0.0155742	0.418907	0.522947	0.0409687
à	0.00192472	0.0182896	0.00516943	0.00362122	0.39186	0.324832	0.254303
o	0.000131617	0.000818106	0.000646204	0.0125817	0.063677	0.804141	0.118004
</S>	0.00424062	0.00354405	0.00383742	0.00289258	0.0136582	0.884745	0.0870816
