 	il	ladro	è	entrato	da	qui	</S>
o	0.995467	0.00331377	0.000846205	2.92915e-06	5.6703e-06	1.98601e-05	0.000344422
l	0.823472	0.102976	0.0693896	0.00337374	0.000422022	1.4582e-05	0.000352105
à	0.0046791	0.925895	0.0516814	0.00960544	0.00166391	0.000169204	0.00630635
d	0.00069533	0.964981	0.0317434	0.00216356	0.000113995	8.22008e-05	0.000220237
r	0.072649	0.880359	0.0434102	0.00292561	2.56478e-05	0.000133283	0.000497208
o	0.00175219	0.968677	0.0218254	0.0035624	0.000192338	0.00118782	0.00280246
i	0.214186	0.21263	0.543263	0.00506174	0.0208744	0.00263626	0.00134868
m	0.00757371	0.177733	0.752815	0.0565464	0.00198562	0.00127106	0.00207493
b	0.00105339	0.0575055	0.353669	0.501973	0.0222577	0.0152781	0.0482632
ì	0.0691263	0.0746468	0.0221524	0.516322	0.0374173	0.0201022	0.260233
k	0.00113847	0.0230224	0.684048	0.284027	0.000778719	0.00559607	0.00138947
e	8.89817e-05	0.0245844	0.392186	0.582242	0.000214332	0.00044335	0.000241057
a	0.000553695	0.000142334	0.0459816	0.0110944	0.867694	0.00687497	0.0676593
p	0.000174783	0.000514748	0.0290327	0.00974553	0.837337	0.105871	0.0173235
ò	0.000356179	0.00122732	0.0018518	0.00603742	0.709618	0.201629	0.0792808
t	0.000586316	0.00158571	0.00425773	0.0122672	0.101621	0.845793	0.0338893
t	0.00039784	0.0180185	0.00731489	0.0681672	0.173271	0.728354	0.00447653
u	0.000103061	0.000429455	0.00253683	0.0121782	0.0469504	0.0246255	0.913176
</S>	8.22896e-05	0.000143563	0.000279873	1.5467e-05	0.0340351	0.0203996	0.945044
