 	dovevo	comprare	il	pane	</S>
ì	0.999959	2.19851e-05	4.28743e-07	9.73315e-07	1.72861e-05
c	0.998909	1.20891e-05	7.84397e-06	1.01073e-05	0.00106064
h	0.987603	0.000107234	3.3063e-05	9.6804e-06	0.0122468
a	0.986643	0.000261067	0.000523113	0.000104164	0.0124685
n	0.446274	0.515634	0.0344475	0.00126514	0.00237884
a	0.671317	0.141275	0.0321048	0.0133853	0.141918
a	0.881085	0.0332572	0.0631669	0.0187512	0.00373959
f	0.0120459	0.719536	0.258059	0.00434347	0.00601512
o	0.0649917	0.473328	0.380913	0.0273207	0.0534465
r	0.0332221	0.0834	0.563124	0.149693	0.170561
à	0.0171098	0.202135	0.268806	0.0826301	0.429319
s	0.00201249	0.00135803	0.00631913	0.0051445	0.985166
o	0.00426629	0.179994	0.280599	0.043768	0.491373
t	2.52255e-05	0.0331603	0.143065	0.812831	0.010918
o	0.000472294	0.00599313	0.12583	0.301006	0.566698
t	3.10944e-05	0.0194762	0.053002	0.889691	0.0377992
s	0.000352551	0.00206881	0.0310737	0.378388	0.588117
o	0.000144765	0.558288	0.116911	0.105192	0.219464
m	0.00135678	0.0326316	0.0327379	0.449915	0.483359
ì	0.000237806	0.0124607	0.0194121	0.51226	0.455629
</S>	6.99002e-05	4.06583e-05	0.000112136	0.00841367	0.991364
