 	non	mangiare	la	sera	</S>
m	0.542009	0.147082	0.0400673	0.0708734	0.199969
i	0.0084864	0.587695	0.182787	0.150458	0.0705742
f	0.0787115	0.915143	0.00542027	0.00066542	5.99801e-05
a	0.00882779	0.828551	0.0596878	0.0524828	0.0504508
i	0.0504625	0.804668	0.0817304	0.028323	0.0348164
o	0.0150443	0.394713	0.559376	0.0146137	0.0162529
v	0.0296368	0.113276	0.35642	0.464948	0.0357192
r	0.00335886	0.0793017	0.410855	0.337076	0.169409
à	0.00413809	0.0197996	0.00351466	0.471169	0.501378
i	0.000326055	0.00435549	0.0199925	0.961104	0.0142223
</S>	0.0202835	0.0251731	0.0929825	0.779741	0.0818197
