 	voglio	che	Maria	venga	domani	</S>
i	0.998323	0.000364401	0.000759585	0.000133898	2.08134e-05	0.000398437
t	0.95676	0.0191571	0.0235129	0.00033259	0.00021033	2.69988e-05
è	0.378811	0.1054	0.181692	0.200144	0.0507452	0.0832077
l	0.90376	0.046388	0.0386905	0.0105753	3.42879e-05	0.000551943
o	0.725919	0.204386	0.0680663	0.000993908	0.00051442	0.000120737
i	0.0502773	0.943188	0.00572985	9.44702e-05	0.000624227	8.65686e-05
M	0.0028488	0.204929	0.763741	0.0267206	0.000280176	0.00148031
a	0.0594525	0.527308	0.265357	0.0814242	0.00224751	0.0642113
r	0.0286764	0.844033	0.0502065	0.0415106	0.0329338	0.00263976
ì	0.0153469	0.386943	0.491168	0.0732921	0.0035543	0.0296952
a	0.0620046	0.169267	0.673274	0.0694171	0.0149687	0.0110689
n	0.0241381	0.356949	0.547621	0.0575722	0.00131562	0.0124044
a	0.0109939	0.33777	0.289544	0.121693	0.0767173	0.163283
r	0.00765177	0.703461	0.0126258	0.00815781	0.259024	0.00907966
t	0.026569	0.463246	0.229608	0.116403	0.0558581	0.108317
i	0.00327829	0.184889	0.00574326	0.000763992	0.00753818	0.797788
à	0.00205359	0.114467	0.0127208	0.00221642	0.834046	0.0344959
v	0.00183364	0.000902304	0.00578264	0.211896	0.668603	0.110983
v	0.000276664	0.000615537	0.00207959	0.0725498	0.918731	0.00574737
r	2.07751e-05	0.000124893	0.0023933	0.0292941	0.0752265	0.89294
i	0.000221021	0.00362304	0.0175939	0.0143362	0.0739355	0.89029
</S>	0.000459574	0.0010956	0.000290696	0.017747	0.00485499	0.975552
