 	si	è	rotta	la	coppa	</S>
e	0.997949	0.00166057	1.68442e-05	5.28689e-06	0.000253473	0.000114467
g	0.817451	0.178896	0.000189812	6.25296e-05	8.73499e-05	0.00331321
l	0.269237	0.703422	0.00834935	0.00439034	0.00291225	0.011689
à	0.235843	0.102635	0.0879772	0.115573	0.433613	0.02436
s	0.0112756	0.0515301	0.843594	0.00761734	0.0773647	0.00861843
t	0.354844	0.466255	0.150894	0.000895868	0.017071	0.0100398
i	0.00552493	0.0217636	0.280131	0.0395675	0.191439	0.461573
e	0.286061	0.258153	0.0443731	0.358072	0.00571518	0.0476259
c	0.0129711	0.230638	0.460315	0.273599	0.00884931	0.013628
ò	0.00064091	0.0383768	0.00200291	0.938939	0.00774251	0.0122981
p	8.43938e-05	0.00605341	0.00606255	0.087647	0.89207	0.00808246
p	0.000437629	0.0562434	0.00298024	0.061618	0.873605	0.00511607
a	0.00839057	0.453068	0.00292868	0.188382	0.0493152	0.297916
</S>	0.00023356	0.00891033	0.000222169	0.0454656	0.00440551	0.940763
