 	io	non	so	cosa	è	da	scrivere	</S>
e	0.988862	0.00598178	0.000191611	0.000127428	0.00106126	0.000130293	4.96866e-05	0.00359575
v	0.934009	0.0461346	0.00201846	0.000571229	0.0166982	0.00039107	0.000124587	5.31006e-05
ò	0.929853	0.0070852	0.0171941	0.00937125	0.0330969	0.00193006	0.000165622	0.0013038
e	0.897599	0.0772975	0.0152175	0.000934352	0.00784582	0.000423094	4.8114e-05	0.000634316
n	0.0477128	0.283893	0.642297	0.0133075	0.00896325	0.000324082	0.000232093	0.00327087
e	0.0439548	0.0195953	0.77769	0.0460637	0.0277419	0.0198392	0.00320879	0.0619063
s	9.74037e-05	0.0181751	0.930482	0.0388231	0.00903675	0.00272435	0.000125241	0.000536075
s	0.00349751	0.0115379	0.698991	0.129964	0.066474	0.0473479	0.00179591	0.0403924
è	0.000434517	0.0511893	0.113007	0.199233	0.0449351	0.108672	0.0492142	0.433316
r	0.0346117	0.0123071	0.0802196	0.374367	0.300087	0.012681	0.167516	0.0182109
o	0.0105537	0.0102597	0.156094	0.645935	0.139184	0.0042993	0.030157	0.00351714
t	4.45118e-05	0.00457014	0.110245	0.54003	0.27722	0.0508996	0.0059743	0.0110159
i	8.67343e-05	0.000142393	0.0288438	0.799695	0.0442786	0.0915765	0.00884464	0.0265319
e	6.03549e-05	0.00171687	0.0529592	0.267469	0.383009	0.241947	0.0144748	0.038364
n	0.00440466	0.00465699	0.0112675	0.139759	0.44059	0.370299	0.00669664	0.0223258
a	0.00100425	0.000875434	0.0190179	0.237021	0.0547073	0.527746	0.0138067	0.145822
g	8.38544e-05	0.000967877	0.00571305	0.0167937	0.0857615	0.733933	0.0708581	0.0858883
r	0.0029171	0.00199985	0.0122984	0.048001	0.0287499	0.67076	0.0355818	0.199692
à	0.000132273	0.00124976	0.0156868	0.0159731	0.00279934	0.0281354	0.208593	0.727431
s	0.00244561	0.00129079	0.000611512	0.00530688	0.0472746	0.0906775	0.720213	0.13218
s	0.00269696	0.00125735	0.00270809	0.0135656	0.0610093	0.37044	0.507473	0.0408494
o	0.000273774	1.95789e-05	0.000597952	0.0121754	0.00261025	0.0111447	0.112212	0.860966
</S>	8.84875e-05	0.00050957	0.00095416	0.00335518	0.0108592	0.141363	0.0355394	0.807331
