 	stava	ancora	cucinando	</S>
ì	0.996567	0.00244542	0.000329547	0.000658349
s	0.993953	0.00100894	8.92591e-05	0.004949
t	0.990853	0.00862534	0.00038119	0.000140598
i	0.999516	1.52779e-05	0.000272845	0.00019538
g	0.431638	0.563237	0.00512147	3.7224e-06
g	0.409012	0.166546	0.224656	0.199786
h	0.186834	0.0351771	0.0599132	0.718076
e	0.0919027	0.0307901	0.2202	0.657107
a	0.0957737	0.654926	0.212404	0.0368967
n	0.00371555	0.0423778	0.943703	0.0102036
k	0.00492395	0.0317805	0.820088	0.143208
ò	0.000309733	0.022374	0.0224302	0.954886
r	0.0379392	0.0264855	0.0989456	0.83663
a	0.00525795	0.0622245	0.920795	0.0117224
m	0.000118695	0.186028	0.778432	0.0354209
a	0.00413426	0.00254496	0.483064	0.510256
r	3.53586e-05	0.0115106	0.562957	0.425497
è	0.000198552	0.00160234	0.711413	0.286786
o	0.00213902	0.00449647	0.84433	0.149034
n	0.00222043	0.00479973	0.915563	0.0774169
t	0.0024528	0.00124616	0.225743	0.770558
a	0.00013163	0.00171233	0.936009	0.062147
</S>	4.72447e-05	0.000815066	0.344529	0.654609
