 	sto	ancora	cucinando	</S>
s	0.97246	0.0133305	0.00890633	0.00530267
t	0.993123	0.00322179	0.00069038	0.002965
e	0.997538	0.000437263	0.00139087	0.000634068
a	0.141869	0.841439	0.0166415	5.08605e-05
n	0.0349161	0.366022	0.591169	0.0078923
k	0.00791302	0.0384564	0.70276	0.25087
ò	0.00727574	0.00861038	0.103533	0.88058
r	0.0541234	0.245142	0.456352	0.244383
a	0.0314996	0.434187	0.525126	0.00918702
m	0.000501571	0.219728	0.763456	0.0163143
a	0.0060351	0.0103941	0.473415	0.510155
r	7.09854e-05	0.0436332	0.58539	0.370906
è	0.000433451	0.00644507	0.480546	0.512576
o	0.00126566	0.015575	0.835265	0.147895
n	0.00265772	0.0117125	0.807724	0.177905
t	0.00269018	0.0015696	0.200823	0.794917
a	0.000211195	0.00210561	0.934198	0.0634853
</S>	7.11434e-05	0.000831118	0.360567	0.638531
