 	io	voglio	che	Maria	venga	qui	</S>
e	0.604017	0.384305	0.0012537	0.00220448	0.000406716	0.000342945	0.00746996
v	0.260615	0.735426	0.00123885	0.00264097	5.50982e-05	1.3472e-06	2.25111e-05
ò	0.587628	0.354456	0.0178526	0.0281972	0.00674168	0.000985063	0.00413934
t	0.207651	0.784218	0.00100338	0.00341128	0.00283008	0.00014669	0.000739217
è	0.0159425	0.976357	0.00458963	0.00296557	0.000107906	1.41498e-05	2.2858e-05
l	0.0270407	0.961902	0.00297735	0.00275099	0.00226035	0.000504816	0.00256414
o	0.00370141	0.95941	0.0284043	0.00814961	0.000187652	8.48895e-05	6.22112e-05
n	0.000242992	0.124257	0.873235	0.00162069	4.01238e-05	7.0955e-05	0.000533734
a	0.0012475	0.0869853	0.518919	0.126577	0.210033	0.038611	0.0176272
r	4.14638e-05	0.00701101	0.979023	0.00330212	0.000227728	0.000397652	0.00999686
t	0.000977158	0.0223556	0.559507	0.106478	0.157624	0.0982977	0.0547605
i	6.44454e-05	0.0130571	0.303896	0.00164521	0.0367585	0.122375	0.522203
e	4.64951e-05	0.00330515	0.932113	0.00655524	0.00187817	0.00215099	0.0539512
M	0.00167254	0.00365485	0.341188	0.618802	0.0210752	0.00830178	0.00530495
a	0.0060391	0.0137218	0.520994	0.234101	0.0978896	0.0605778	0.0666762
r	0.000774333	0.00318475	0.786486	0.0350759	0.011269	0.0102857	0.152925
ì	0.00216038	0.00517855	0.360143	0.282515	0.0968973	0.165985	0.0871207
a	0.107272	0.0479164	0.121733	0.259816	0.0239128	0.0439652	0.395384
e	0.00563775	0.0131376	0.378883	0.312239	0.130987	0.12997	0.0291463
t	0.00591228	0.00750185	0.0864243	0.171854	0.320421	0.371237	0.0366496
t	0.000132338	0.000264866	0.00780883	0.00973816	0.371046	0.558182	0.0528278
ù	3.63385e-05	0.000244753	0.0660473	0.000636846	0.00315263	0.0389182	0.890964
</S>	0.0867472	0.00895872	0.00769781	0.0848459	0.119311	0.22282	0.46962
