 	ho	rotto	una	bottiglia	</S>
è	0.743091	0.250755	0.00208872	0.000269078	0.00379669
g	0.000263645	0.997559	0.000637971	1.42428e-05	0.00152519
l	0.00129977	0.998307	0.00031664	2.22053e-07	7.66048e-05
a	0.12154	0.844935	0.0264009	0.00110138	0.00602247
s	0.830983	0.0755736	0.0929981	0.000437266	8.47634e-06
a	0.176698	0.637852	0.0985526	0.0346928	0.0522052
m	0.178427	0.0109191	0.777573	0.0237517	0.00932918
i	0.0389428	0.0672056	0.438024	0.141041	0.314787
a	0.015571	0.00151385	0.858946	0.0834213	0.0405475
b	0.00412451	0.00169709	0.960545	0.0229478	0.0106855
u	0.0113587	0.000892893	0.114422	0.73754	0.135786
t	0.00395221	0.000150346	0.154463	0.633908	0.207527
t	0.00312548	0.000181767	0.0130741	0.90121	0.0824083
ì	0.00307734	0.000327943	0.0231599	0.58658	0.386855
g	0.0334128	0.2302	0.167407	0.0663557	0.502625
l	0.0660934	0.747337	0.0903373	0.0325824	0.06365
i	0.000272633	0.000788711	0.00467813	0.00860726	0.985653
a	0.00128611	4.40758e-05	0.0279934	0.746105	0.224571
</S>	0.00146048	0.00051756	0.00309444	0.214882	0.780045
