 	dovevo	comprare	pane	ogni	giorno	</S>
ì	0.999948	2.03656e-05	3.86437e-07	6.99929e-06	4.31801e-06	1.99213e-05
c	0.998521	8.50099e-06	4.0612e-06	0.0010564	8.5841e-05	0.000324212
h	0.988116	8.18087e-05	1.72136e-05	0.00919279	0.000983231	0.00160921
a	0.79983	0.000263706	0.000385599	0.193376	0.00453684	0.00160833
n	0.445833	0.521397	0.0159822	0.00938568	0.0015782	0.00582402
a	0.628094	0.0947904	0.0264626	0.164739	0.00800839	0.0779062
v	0.636419	0.033143	0.0576586	0.271638	0.000896134	0.000244874
o	0.206288	0.44282	0.0823233	0.20782	0.00568955	0.0550594
r	0.0204368	0.103194	0.594593	0.266477	0.00768637	0.00761387
à	0.0882634	0.260988	0.270829	0.214985	0.0153198	0.149614
s	0.00277722	0.00321108	0.00876242	0.766096	0.119155	0.0999983
o	0.0193626	0.370488	0.208182	0.212424	0.123079	0.0664641
t	6.59402e-05	0.0744078	0.686672	0.216489	0.00934174	0.0130242
s	0.00111431	0.0116016	0.279509	0.272575	0.178449	0.256751
o	0.000874008	0.487461	0.248278	0.00777382	0.014373	0.24124
m	0.000575326	0.023668	0.058129	0.330549	0.106271	0.480808
ì	0.000537171	0.00748454	0.0478922	0.793171	0.0401057	0.11081
k	4.19738e-05	8.30589e-05	0.000309249	0.613853	0.311816	0.0738972
u	0.00385984	0.0113958	0.0104551	0.177413	0.692986	0.10389
à	5.21596e-05	0.0191991	0.0357755	0.0230388	0.557187	0.364747
i	0.000132156	0.000290754	0.00026342	0.00658218	0.91302	0.0797116
m	9.77414e-05	0.00033084	0.000490212	0.00197102	0.700749	0.296362
è	0.00105825	4.10182e-05	0.000253908	0.00336484	0.638371	0.356911
r	6.34409e-05	6.70869e-06	7.16015e-06	0.00189076	0.840911	0.157121
i	0.000708763	0.000306833	0.000252169	0.00144531	0.678639	0.318648
</S>	3.19684e-05	0.000278376	0.000230987	6.91219e-05	0.0128568	0.986533
