 	i	bambini	non	si	vestono	da	soli	</S>
t	0.998004	0.000844129	0.000474858	1.19895e-05	7.68547e-05	2.09128e-05	0.000247387	0.000319594
a	0.993385	0.00628301	0.00022055	1.67693e-05	7.02867e-05	3.79191e-06	1.22358e-05	8.14377e-06
p	0.66481	0.320415	0.00968253	0.000357478	0.00472689	5.72719e-06	7.60935e-07	1.61829e-06
e	0.291765	0.541412	0.0221662	0.0442202	0.0350074	0.00765644	0.0260697	0.0317029
t	0.92624	0.011607	0.0480441	0.00571492	0.00811899	0.000178854	6.27991e-05	3.34187e-05
ì	0.232346	0.0573823	0.0995444	0.23523	0.128101	0.0724114	0.101004	0.0739806
a	0.193686	0.322807	0.0898734	0.139604	0.0128065	0.034951	0.0652612	0.141011
e	0.129513	0.000634163	0.82021	0.0227179	0.0265679	1.86269e-05	4.70479e-05	0.000291356
n	0.00269609	0.010015	0.088057	0.713605	0.184768	0.000537958	0.000101573	0.000219011
i	0.00340724	0.00122971	0.00474252	0.756	0.028174	0.155395	0.0153742	0.0356768
n	0.00163884	0.000178915	0.0446149	0.865882	0.0749371	0.00873651	0.000560093	0.00345186
d	0.00237382	0.00220385	0.00493966	0.760809	0.0402969	0.13586	0.0161143	0.0374018
ì	0.0114541	0.000744734	0.00760486	0.0299147	0.0285087	0.0876143	0.345192	0.488967
n	0.00706448	0.0454505	0.033331	0.548598	0.286109	0.040733	0.0225955	0.0161185
n	0.00774565	0.00870372	0.0141954	0.534577	0.423056	0.00689765	0.00172365	0.00310071
o	0.000282403	0.00270149	0.000310833	0.0228208	0.000546276	0.0456391	0.317706	0.609993
t	0.00286369	0.000382149	0.00637307	0.352816	0.214577	0.175745	0.0514144	0.195828
t	0.00024996	7.64755e-05	0.000190344	0.20463	0.0434633	0.465076	0.0330797	0.253235
e	0.000927112	3.13132e-05	0.000493724	0.0329773	0.00954663	0.37606	0.0631374	0.516827
m	0.000391508	0.000135727	0.00106085	0.129706	0.227178	0.373919	0.0105648	0.257045
a	0.00240581	0.00206643	0.00187787	0.125406	0.0562809	0.563888	0.0741992	0.173876
n	0.00104443	0.000142149	0.00205089	0.0239176	0.215262	0.422261	0.0409121	0.29441
e	0.000871449	0.000522569	0.00066557	0.0287085	0.029294	0.720516	0.0544977	0.164924
c	0.000886521	0.000117131	0.00130209	0.00954144	0.115898	0.379657	0.0748936	0.417704
h	0.00198245	0.00079011	0.000838069	0.0176971	0.0200343	0.51153	0.188144	0.258983
à	0.0007	0.000195804	0.000862095	0.00442436	0.0442782	0.12417	0.144604	0.680766
t	0.0028654	0.0337861	0.00818096	0.00416346	0.142751	0.10907	0.628444	0.0707401
u	0.0109002	0.0102234	0.00302003	0.0245454	0.077365	0.198959	0.58251	0.0924765
</S>	0.000896882	0.000226326	0.00106963	0.00219507	0.0583389	0.0698036	0.245791	0.621678
