 	è	che	è	entrato	da	qui	</S>
è	0.99714	0.0017413	0.000430899	6.64089e-06	8.56176e-06	2.36401e-05	0.000648936
n	0.751819	0.146331	0.0638594	0.0102303	0.00227179	0.00146666	0.0240224
a	0.309027	0.574708	0.0552164	0.059925	6.04235e-05	5.38676e-05	0.00100881
m	0.124143	0.848811	0.0182463	0.00863948	0.000150985	2.7478e-06	5.74631e-06
b	0.00373178	0.107735	0.0342965	0.841532	0.00294501	0.0013644	0.00839503
ì	0.0107371	0.101305	0.0464376	0.728599	0.040442	0.0147464	0.0577332
k	0.00857232	0.0672661	0.406234	0.5164	0.000277249	0.000980562	0.000269712
e	0.00333832	0.037716	0.199882	0.758824	9.12564e-05	7.57819e-05	7.20213e-05
a	0.00190344	0.0347156	0.140262	0.0187788	0.780858	0.00515599	0.0183261
p	0.00335331	0.00532198	0.0215658	0.02348	0.872794	0.0597645	0.0137209
ò	0.000392944	0.00400171	0.00174846	0.00153875	0.800964	0.141802	0.0495516
t	0.0014656	0.00223407	0.00797546	0.00417152	0.0812229	0.892618	0.0103128
t	0.00518009	0.0317783	0.0259073	0.0588021	0.165445	0.709354	0.00353323
u	0.00311053	0.00390307	0.0068709	0.0106178	0.0603112	0.0287946	0.886392
</S>	0.000170207	0.000667163	0.000535217	1.86981e-05	0.0295333	0.0370105	0.932065
