 	le	melanzane	vogliono	ee	girate	</S>
t	0.492724	0.503229	0.00141014	0.000132687	0.000864637	0.00163936
e	0.988012	0.0100401	0.00172612	1.35618e-05	0.000132327	7.61888e-05
s	0.350389	0.629982	0.0196034	1.76632e-05	5.27372e-06	1.97951e-06
m	0.140018	0.449956	0.209169	0.00787926	0.109267	0.0837113
a	0.529681	0.304134	0.0967203	0.0225963	0.0164756	0.0303929
r	0.260617	0.636568	0.0688349	0.0183335	0.00360671	0.0120405
a	0.235831	0.579998	0.091631	0.0367679	0.0146545	0.0411169
n	0.161353	0.620797	0.130479	0.0414197	0.00966677	0.0362852
g	0.119675	0.693995	0.165825	0.00463746	0.00655755	0.00930979
i	0.192249	0.213379	0.068803	0.341769	0.0400429	0.143757
à	0.0302833	0.301672	0.186907	0.110962	0.114166	0.25601
n	1.36175e-05	0.0104502	0.972472	0.00270995	0.00478479	0.00956995
e	0.000128715	0.0695824	0.701777	0.00966285	0.192768	0.0260809
t	0.0140167	0.281469	0.658451	0.0319325	0.00456645	0.00956456
è	0.000979807	0.0133936	0.645716	0.153328	0.102169	0.0844143
l	1.45387e-05	0.0530564	0.708879	0.0242802	0.100387	0.113384
u	0.00015971	0.0156723	0.965327	0.0015754	0.0159604	0.00130552
n	0.0034267	0.0605845	0.775691	0.0895272	0.0309881	0.0397826
e	0.000567614	0.00499633	0.209806	0.394874	0.266427	0.123329
e	0.00132018	0.00672101	0.157615	0.594326	0.0636303	0.176387
e	0.000987326	0.00546585	0.0216233	0.282983	0.627184	0.061757
v	0.000919415	0.00418255	0.00875043	0.0443965	0.924148	0.0176029
o	0.00103303	0.00227679	0.00963948	0.164851	0.570871	0.251329
t	0.000910121	0.00293029	0.036881	0.406765	0.224616	0.327897
i	0.000547336	0.000824864	0.00294313	0.115797	0.583258	0.29663
m	0.000853573	0.00207773	0.0231466	0.245877	0.216633	0.511412
m	0.000596834	0.00166283	0.00549861	0.0748835	0.779427	0.137931
è	0.00134441	0.00231612	0.0120059	0.412509	0.0586971	0.513127
n	0.00113275	0.0473163	0.00410985	0.00533789	0.806464	0.135639
e	0.00176278	0.0126126	0.0460394	0.00951017	0.920146	0.00992867
</S>	0.00113997	0.00191738	0.00643838	0.0168567	0.256393	0.717254
