 	deve	che	entra	da	qui	</S>
è	0.996022	0.000582037	0.000379045	0.000178707	0.000612548	0.00222526
n	0.921468	0.039637	0.0143032	0.00253925	0.00139719	0.0206554
g	0.233359	0.131856	0.63308	0.000184377	0.000120909	0.00139925
h	0.292624	0.477082	0.208957	0.00567911	0.0142355	0.00142208
i	0.165465	0.485126	0.338143	0.0083373	0.00216315	0.000764586
s	0.0804582	0.74895	0.157992	0.0087186	0.000643127	0.00323825
e	0.00412367	0.599725	0.356345	0.0164069	0.00870582	0.0146936
n	0.0192044	0.348133	0.578048	0.051957	0.000404656	0.00225265
a	0.00274565	0.132117	0.779862	0.0483168	0.0135722	0.0233864
m	0.00827006	0.198838	0.257561	0.477665	0.00315008	0.0545151
b	0.00134837	0.0309173	0.82197	0.115902	0.0127708	0.0170923
i	0.0051311	0.174081	0.0623671	0.146385	0.0546059	0.55743
a	0.00100499	0.0223413	0.00228685	0.911214	0.0124087	0.0507446
p	0.0011147	0.0076288	0.00224945	0.671204	0.300679	0.0171244
ò	0.000952357	0.0257786	0.00378	0.510314	0.347758	0.111417
t	0.00652123	0.0200601	0.0666951	0.0356171	0.830466	0.0406402
t	0.00271502	0.020123	0.178789	0.0693884	0.7222	0.00678433
ù	0.00130488	0.00396807	0.00762565	0.054112	0.0200545	0.912935
</S>	0.00134618	0.00870913	0.0069705	0.0139548	0.0765561	0.892463
