 	lo	ho	finito	di	fare	</S>
t	0.976121	0.00818694	0.000113495	0.00693022	0.0075619	0.00108643
o	0.97333	0.0059367	0.00201538	0.0173628	0.00102396	0.000331509
s	0.0520123	0.941892	0.00144995	0.0046207	2.15205e-05	3.37552e-06
p	0.00738365	0.0177622	0.83036	0.0223058	0.106018	0.0161711
ì	0.149111	0.0429823	0.504917	0.0121002	0.162168	0.128722
c	0.00109963	0.0629659	0.914134	0.00488728	0.0165937	0.000319257
c	0.0142359	0.413119	0.500095	0.0414165	0.030638	0.000495494
e	6.99925e-05	0.00448355	0.0849772	0.0271023	0.709827	0.17354
t	0.382251	0.414089	0.0342423	0.166145	0.00117964	0.00209286
s	0.00397489	0.00477371	0.879693	0.0293969	0.00941606	0.0727454
a	0.196532	0.0552185	0.0195359	0.0807848	0.0760527	0.571876
a	0.00490326	0.0158918	0.0194253	0.726636	0.0227378	0.210406
t	0.000214094	0.00192158	0.00364529	0.980142	0.0067833	0.00729343
s	0.00187617	0.00472595	0.0289104	0.265952	0.15066	0.547875
è	0.022681	0.00531038	0.00385377	0.013427	0.120502	0.834226
k	0.000304498	0.0105264	0.047869	0.126413	0.753475	0.0614118
à	0.000488842	0.0272034	0.102976	0.10698	0.753697	0.00865522
m	1.98453e-06	0.000525047	0.000648987	0.00306027	0.943328	0.0524359
i	0.000426378	0.00875183	0.152392	0.0144523	0.769173	0.0548045
</S>	3.49121e-05	0.000134061	6.10854e-06	0.000233198	0.0297731	0.969819
