 	la	donna	pulisce	la	casa	l	uomo	no	</S>
e	0.269979	0.724027	0.00515823	3.42114e-05	1.93595e-05	2.23973e-06	8.79321e-06	0.000637376	0.000134432
j	0.15342	0.844877	0.000712553	0.000193813	0.000543366	0.000110267	4.61524e-05	9.21575e-05	4.24715e-06
i	0.241585	0.551801	0.095487	0.0340023	0.00732057	0.0127546	0.0189711	0.0126761	0.0254025
n	0.207286	0.785161	0.00582269	0.000875306	0.00038261	0.000413276	5.39582e-05	3.81473e-06	9.55179e-07
è	0.089696	0.486237	0.148802	0.0482296	0.0231382	0.0183354	0.0665507	0.0835052	0.0355053
k	0.0391092	0.933127	0.0149267	0.00131467	0.0076989	1.19895e-05	0.000857428	0.00210446	0.000849321
a	0.0567856	0.940908	0.00129097	0.000184406	0.000271468	2.82676e-05	0.000188642	0.000319039	2.35023e-05
p	0.0907968	0.328861	0.435362	0.0849418	0.0434344	0.0159111	0.000285976	0.00020928	0.00019752
u	0.00697236	0.140097	0.554563	0.201026	0.0492015	0.00912349	0.0168566	0.00844009	0.0137199
l	0.00557985	0.057074	0.78395	0.0940499	0.0402298	0.0117211	0.000241022	0.00243139	0.00472259
i	0.00128903	0.014577	0.751038	0.173984	0.0310218	0.00595339	0.00786476	0.0047227	0.00954926
z	0.00107827	0.0156544	0.784575	0.142222	0.0398539	0.00963209	0.000202754	0.00219031	0.00459107
z	0.00118046	0.0168035	0.648512	0.227536	0.0505182	0.011736	0.0111445	0.0147511	0.0178182
è	0.00839913	0.0607833	0.108713	0.242362	0.204086	0.0637988	0.00105724	0.136294	0.174506
i	0.00210266	0.111765	0.269555	0.209336	0.350435	0.00205843	0.0270141	0.0257885	0.00194506
o	0.000913697	0.0030343	0.0775781	0.84466	0.0415359	0.0288974	0.00229782	0.000491244	0.000591273
s	0.000168674	0.000605213	0.0147248	0.570191	0.395557	0.014187	0.00202551	0.00192728	0.000614147
p	0.000402962	0.000446587	0.032723	0.787521	0.13727	0.0193358	0.00288215	0.00888804	0.0105305
ì	0.000866485	0.00325707	0.0497458	0.11848	0.0746154	0.129505	0.00222053	0.149454	0.471855
t	0.000429316	0.00341497	0.00558025	0.111411	0.704054	0.00316974	0.0352514	0.130966	0.00572377
i	0.000906374	0.00120086	0.0119941	0.548018	0.351222	0.0436628	0.0355768	0.00654512	0.000874345
o	0.000157197	0.00027207	0.00116965	0.0294922	0.112951	0.830818	0.00394032	0.00240136	0.0187979
à	0.000440722	0.00122707	0.00173574	0.0201095	0.261693	0.54794	0.132574	0.0153838	0.0188968
n	0.000507041	0.004892	0.000334428	0.00232244	0.0881958	0.0648954	0.831758	0.00629144	0.000803265
t	0.00231379	0.00347283	0.0061879	0.0254114	0.245599	0.116948	0.551763	0.0446058	0.00369936
r	0.000134263	3.54986e-05	0.00364365	0.019305	0.0215095	0.00119367	0.0095312	0.460737	0.48391
e	6.25966e-05	7.8433e-05	0.00111607	0.00758865	0.00318153	0.00319023	0.00504616	0.616961	0.362775
p	0.000682277	0.000853201	0.00127557	0.00886579	0.0434132	0.411657	0.117108	0.0326693	0.383476
o	0.00167514	0.000460649	0.00425774	0.0112297	0.0221223	0.373347	0.275311	0.046517	0.26508
d	0.000394328	0.000446736	0.000412742	0.00188263	0.00996382	0.560243	0.0494611	0.0519417	0.325254
è	0.000879229	0.000770613	0.00309881	0.0067534	0.0160642	0.125573	0.157324	0.224982	0.464554
g	0.000187682	0.000720913	0.000545944	0.000577034	0.00992353	0.00291329	0.368984	0.488862	0.127285
g	0.000678136	0.00115485	0.00214997	0.00177811	0.00424997	0.0163295	0.895166	0.0670607	0.0114329
h	2.52726e-05	1.53074e-05	0.000338473	0.000799708	0.0028101	0.000190897	0.0128345	0.61881	0.364176
e	0.000500407	0.000484182	0.000458198	0.00123605	0.00659195	0.0623272	0.0400114	0.512778	0.375613
</S>	0.000548169	0.000585126	0.000561253	0.000740017	0.000850241	0.0751832	0.151974	0.0906784	0.67888
