 	non	li	aspettiamo	più	</S>
e	0.296338	0.58638	0.0188068	0.0179348	0.0805399
t	0.18552	0.81042	0.00370629	0.000227086	0.000126708
u	0.0303745	0.764214	0.0262253	0.0309639	0.148223
s	0.0331402	0.957975	0.00868362	0.000118176	8.27567e-05
m	0.00297857	0.0693305	0.274754	0.198865	0.454072
è	0.0473702	0.450896	0.210005	0.0666399	0.225089
n	0.0216885	0.510902	0.235327	0.136875	0.095207
u	0.0116075	0.797263	0.0408018	0.13289	0.0174377
m	0.00501057	0.0763896	0.3273	0.538471	0.0528289
e	0.0147335	0.0585335	0.0741741	0.256183	0.596376
p	0.00332237	0.00752297	0.147036	0.52223	0.319889
l	0.000609822	0.00218274	0.0160147	0.33575	0.645443
è	0.000753829	0.00473201	0.00597049	0.0730697	0.915474
o	0.000846804	0.00253251	0.00767177	0.763372	0.225577
</S>	0.00875592	0.0179081	0.00528185	0.584579	0.383475
