 	qui	dentro	vuole	un	tappeto	</S>
e	0.996102	0.00188833	0.000300529	4.84926e-05	0.000127267	0.00153317
t	0.98833	0.00304932	0.00823868	0.00036663	8.78203e-06	6.92362e-06
t	0.929228	0.00249405	0.043575	0.0085557	0.00252146	0.0136259
ù	0.996458	0.00232884	0.000297906	0.000656007	0.000198505	6.05663e-05
m	0.011485	0.938721	0.03029	0.0032593	0.00483196	0.0114131
è	0.04567	0.752078	0.200312	0.0010831	0.000174503	0.00068209
s	0.000525398	0.911221	0.0694104	0.00151705	0.00429439	0.013032
a	0.00117231	0.0139258	0.976277	0.00753017	0.000720977	0.000374178
t	0.00518691	0.0625982	0.909367	0.0218674	0.000252503	0.000728325
è	0.000236591	0.00614139	0.76997	0.076663	0.0725574	0.0744315
l	1.24496e-05	0.0559393	0.914949	0.00561059	0.0071258	0.0163624
i	3.60707e-05	0.000859226	0.982763	0.0156661	0.000470558	0.000204755
è	0.00073067	0.00188411	0.09086	0.89003	0.00692033	0.00957443
n	0.000664385	0.0157333	0.0477712	0.928977	0.00570461	0.00114992
a	0.00023219	0.00542712	0.169154	0.78796	0.0350088	0.00221782
t	0.000125192	0.000651166	0.00626979	0.264743	0.640517	0.0876935
a	0.000389912	0.00182929	0.000832722	0.153712	0.723996	0.11924
p	2.04343e-05	0.000239193	0.000474242	0.0509506	0.872565	0.0757509
p	0.000284656	0.000813939	0.000764181	0.0440082	0.893503	0.0606257
è	0.000864397	0.000937604	0.005492	0.212005	0.348573	0.432128
t	0.00106815	0.0706197	0.0338614	0.0998463	0.651068	0.143536
o	0.00305446	0.0444705	0.0644665	0.169763	0.699283	0.0189622
</S>	0.000518909	0.000712762	0.000658524	0.103186	0.256137	0.638787
