 	ho	cosa	a	fare	</S>
a23	0.47053882	0.0062641026	0.007858211	0.042969156	0.47236967
a17	0.86692697	0.02914752	0.0049660727	0.03728583	0.061673652
a31	0.06342713	0.09872195	0.046412002	0.12637512	0.6650638
a8	0.009661343	0.135568	0.42186096	0.3802425	0.052667256
a31	0.049189445	0.38615444	0.21396612	0.2735515	0.077138506
a13	0.042848777	0.32034233	0.2069631	0.3925238	0.03732201
a24	0.036141284	0.35303247	0.3240436	0.28258735	0.0041953037
a31	0.021240307	0.23815948	0.4473939	0.25162908	0.041577224
a13	0.07180421	0.21221976	0.22957985	0.17046094	0.31593522
a31	0.106668614	0.24721992	0.21180756	0.13241944	0.3018845
a18	0.16088665	0.38925233	0.21367258	0.08202973	0.15415877
a0	0.120627254	0.46658346	0.21887271	0.041994352	0.1519222
a39	0.2583342	0.4096949	0.19426805	0.064730115	0.07297276
</S>	0.33663198	0.3666057	0.17389217	0.061247848	0.061622348
