 	non	ho	dove	d	andare	</S>
a20	0.07154206	0.001323441	0.00014004388	0.0023276208	0.0023920536	0.92227477
a31	0.109081216	0.21244203	0.012929284	0.055774797	0.015064445	0.5947082
a37	0.0057075615	0.05139464	0.007942644	0.5628031	0.25578138	0.116370596
a31	0.00043018174	0.021664673	0.061947	0.4373224	0.46797368	0.010662073
a29	0.0019503761	0.15714216	0.20727025	0.36172026	0.26461494	0.0073019895
a41	0.009501027	0.66589236	0.20518471	0.10421794	0.013137639	0.0020662919
a31	0.020544043	0.28855506	0.5912578	0.09137815	0.0058737313	0.002391122
a18	0.032508846	0.14385687	0.5200751	0.23173466	0.045534585	0.026289986
a31	0.06581682	0.16020942	0.48472852	0.22254714	0.053330384	0.013367646
a39	0.047149483	0.09433697	0.3082824	0.18901369	0.18775323	0.17346427
a31	0.046690084	0.12209452	0.29855976	0.1904404	0.15148982	0.1907254
a8	0.031450942	0.089042574	0.25401068	0.2314828	0.16243787	0.2315751
a31	0.01439418	0.044403885	0.17286405	0.31701916	0.22802481	0.2232939
a8	0.028021717	0.0841503	0.19711539	0.29986078	0.16763015	0.22322172
</S>	0.013397876	0.040229965	0.22898366	0.35589212	0.14992787	0.21156853
