 	li	vestono	i	genitori	</S>
a31	0.0008453295	0.0029512893	0.00598951	0.080723554	0.90949035
a46	0.0008775734	0.07956945	0.7386693	0.14870438	0.032179333
a18	0.007205005	0.08841439	0.5934342	0.23990542	0.071040995
a35	0.0029692892	0.097203396	0.7329566	0.15775546	0.009115278
a15	0.0023530682	0.05768422	0.9061343	0.022378454	0.011449925
a39	0.006537879	0.14330688	0.727996	0.07962731	0.04253194
a31	0.013036383	0.17719397	0.38978752	0.26629764	0.15368445
a11	0.016482212	0.18946618	0.37720767	0.31215954	0.10468447
a20	0.055489376	0.1518675	0.17365958	0.17273	0.4462536
a31	0.08340131	0.22120665	0.22393075	0.1983784	0.2730829
a39	0.03858449	0.31316435	0.31109852	0.32630032	0.010852348
a20	0.046405226	0.22018383	0.28074524	0.16630843	0.28635725
a46	0.06749235	0.2583957	0.24097627	0.24021176	0.19292392
a31	0.13069828	0.24051428	0.18622051	0.18392079	0.25864616
a15	0.1266984	0.34857935	0.20804502	0.2540774	0.06259979
a24	0.14283639	0.23893508	0.19402549	0.17936143	0.24484165
a20	0.34897143	0.232964	0.1387628	0.12413825	0.1551635
a31	0.18599817	0.19047147	0.14009705	0.15067159	0.3327617
a13	0.2353134	0.28890485	0.15077502	0.15642577	0.16858101
a46	0.36436227	0.23379394	0.13117655	0.11775377	0.15291344
a14	0.38344666	0.24823186	0.12604684	0.1092579	0.13301677
a20	0.35248774	0.22448559	0.11886102	0.11081411	0.19335154
a31	0.34327242	0.22004284	0.117741354	0.11185183	0.20709154
</S>	0.33776852	0.24944186	0.11922601	0.108802356	0.18476127
