 	prima	di	andare	alla	scuola	</S>
a7	0.08843574	0.0034985954	0.12534384	0.22760977	0.05093697	0.50417507
a11	0.9912986	0.0014231595	0.0013905733	0.0001791897	0.0004418255	0.0052667204
a43	0.0032532583	0.02036712	0.061856013	0.047958247	0.5826736	0.28389174
a20	0.0035675315	0.019172324	0.21602318	0.18114354	0.55347043	0.026622986
a31	0.0019344985	0.050166618	0.3567615	0.22284211	0.28088278	0.08741249
a20	0.036886025	0.11186702	0.49564645	0.11780003	0.09456421	0.14323628
a31	0.042395644	0.12896624	0.5643908	0.09961481	0.06528564	0.09934689
a20	0.11881614	0.11974278	0.34124884	0.108363196	0.028262032	0.283567
a31	0.12299574	0.18479842	0.3057756	0.10192	0.02448708	0.26002315
a20	0.15578426	0.22895989	0.20323566	0.11555197	0.05979569	0.23667254
a31	0.13745435	0.3610081	0.22096118	0.08003248	0.046829414	0.15371446
</S>	0.14159997	0.3971906	0.14798227	0.08185601	0.082297646	0.14907351
