 	ora	ho	finito	di	scrivere	</S>
a23	0.016582582	0.0030217303	0.011754999	0.0058541363	8.011306e-05	0.96270645
a31	0.005305381	0.0100603	0.4981155	0.28025922	0.00015373413	0.20610578
a28	0.44345483	0.03317301	0.20626302	0.3024112	0.0009053369	0.013792475
a31	0.032143813	0.014310807	0.7442618	0.19948776	0.0019473045	0.007848536
a41	0.14365067	0.03370463	0.5290863	0.2861369	0.0047776243	0.0026438928
a21	0.014782951	0.22379343	0.54561263	0.19823559	0.0027377806	0.014837724
a24	0.06684664	0.28463748	0.3891854	0.19685484	0.0035845265	0.05889105
a31	0.08670718	0.11793311	0.4004958	0.30284104	0.023726044	0.068296775
a39	0.015034707	0.12440134	0.29513	0.54776853	0.0034168453	0.014248619
a31	0.031588245	0.07681528	0.37101343	0.3189959	0.08313318	0.11845394
a28	0.040009636	0.13040222	0.3002157	0.43302527	0.022701476	0.07364557
a31	0.016464414	0.03235168	0.23849005	0.18808413	0.2642	0.26040974
a20	0.042127967	0.06835149	0.19813426	0.20136924	0.19048208	0.29953495
a37	0.017814687	0.04025144	0.2754178	0.18252818	0.2746121	0.2093758
</S>	0.12692343	0.12174299	0.26834863	0.122423396	0.21730332	0.14325827
