 	se	vieni	a	casa	ogni	sabato	</S>
a23	0.2907204	0.0074685505	0.00096174213	0.0068829237	0.023317005	0.04979012	0.62085927
a31	0.048419427	0.035365913	0.009219417	0.073567875	0.026921086	0.25798377	0.54852253
a11	0.19147816	0.3150858	0.17036343	0.14113714	0.12490387	0.038024075	0.019007519
a21	0.008628766	0.03998969	0.12395136	0.3296574	0.44156554	0.04949657	0.0067105824
a31	0.012148316	0.049390893	0.2350145	0.37866908	0.2787459	0.036155727	0.009875559
a20	0.028429033	0.06737329	0.2574805	0.24423236	0.31247506	0.07688851	0.013121322
a31	0.024830736	0.045577038	0.22895585	0.4919692	0.16722453	0.033743434	0.007699271
a10	0.024240684	0.025447711	0.13634	0.5037136	0.20007053	0.079061046	0.031126365
a31	0.022547979	0.020060899	0.11672691	0.5183049	0.22162329	0.08272735	0.018008698
a21	0.029687246	0.019734068	0.07396265	0.36222696	0.28283536	0.19620453	0.035349112
a11	0.020947777	0.015107873	0.040845912	0.23806053	0.2675586	0.2853693	0.13211
a3	0.015493827	0.0134336725	0.02945679	0.21929722	0.19988236	0.34982023	0.17261593
a33	0.056271803	0.058984715	0.11861929	0.21594238	0.113508806	0.261099	0.17557399
</S>	0.14198796	0.16536681	0.22496642	0.2055195	0.059710644	0.12396391	0.07848472
