 	ho	scritto	una	lettera	al	mio	fratello	</S>
a10	0.25164795	0.18677664	0.005489827	0.0304293	0.48485228	0.023400612	0.004090875	0.013312582
a31	0.047139335	0.07889454	0.09325983	0.51021403	0.25800818	0.011274161	0.0010503337	0.00015958128
a37	0.18004958	0.02319407	0.029211763	0.49451178	0.2660364	0.0056024515	0.0012579145	0.00013608161
a31	0.015713736	0.067146726	0.6358085	0.21274042	0.05114552	0.007512675	0.009229352	0.00070306106
a20	0.025750022	0.13058834	0.6686317	0.103649266	0.034576137	0.012523818	0.02388409	0.00039668323
a31	0.0057408153	0.11774689	0.7615775	0.06937705	0.02148389	0.0044511645	0.018639255	0.0009834818
a20	0.10259094	0.29315102	0.5510123	0.023238605	0.004886472	0.006420728	0.017951323	0.0007486412
a13	0.006998467	0.08871135	0.45918348	0.19536729	0.077047154	0.03675242	0.113749996	0.022189874
a20	0.013503888	0.19188657	0.30440375	0.22394225	0.10625479	0.079700105	0.055859648	0.024449024
a24	0.0058773234	0.20768309	0.2639303	0.21582487	0.10795418	0.1008834	0.06469888	0.03314798
a31	0.02723517	0.21045077	0.1254293	0.11864993	0.10844033	0.14486918	0.14011344	0.12481192
a0	0.022529341	0.11286328	0.1739765	0.20287646	0.1401125	0.18823548	0.10071503	0.058691457
a35	0.034438435	0.315341	0.16792703	0.1349275	0.09765474	0.085095435	0.08127363	0.08334217
a0	0.12583917	0.3168651	0.1269256	0.103606895	0.07971151	0.10007659	0.08297496	0.064000174
a31	0.11214222	0.26461175	0.10235878	0.08421281	0.07011326	0.1224663	0.117641106	0.12645386
a11	0.03863202	0.26559743	0.16194728	0.12431834	0.08270353	0.1300407	0.10302638	0.093734324
a20	0.19342895	0.31359333	0.13714075	0.09942921	0.06388874	0.06673834	0.059314393	0.06646623
a41	0.15221636	0.2977303	0.11750439	0.089221776	0.06396052	0.095728666	0.086911105	0.096726924
a10	0.15352903	0.28957078	0.115371294	0.08726623	0.06241301	0.097454324	0.08949908	0.104896195
</S>	0.12315597	0.26453212	0.10906105	0.083311476	0.061302684	0.12190564	0.10996906	0.12676205
