 	le	melanzane	devono	girarsi	dopo	le	cucini	</S>
a31	0.021595683	0.02579383	0.0015634076	0.0049824165	0.11308824	0.7389838	0.0002851038	0.093707494
a23	0.0004532088	0.0020704928	0.009605798	0.110447876	0.51803136	0.31852835	0.0022303956	0.038632516
a20	0.00024349034	0.00024291745	0.020193433	0.91164625	0.041169506	0.00699978	3.961814e-05	0.019465078
a28	6.0011594e-06	4.6939003e-05	0.10379147	0.7184754	0.1497679	0.025294797	0.000115053714	0.0025024086
a31	8.71406e-05	0.00041235835	0.059677027	0.16113935	0.6379509	0.13834444	0.0002806799	0.0021080344
a17	0.000966295	0.0005033797	0.07752109	0.2583519	0.579505	0.080855705	0.0005081882	0.0017884421
a31	0.0023049267	0.0068609393	0.046445336	0.114291534	0.5127362	0.2978695	0.0062694447	0.0132220825
a19	0.0021205281	0.0017155407	0.043953855	0.08472553	0.73861897	0.12588097	0.0006658325	0.0023186947
a31	0.005172578	0.009652631	0.044599447	0.086273536	0.38525105	0.28392115	0.050393224	0.13473636
a20	0.0060110656	0.0046702432	0.057827126	0.07642023	0.6527415	0.19441031	0.0019782523	0.0059412895
a31	0.003427577	0.0050014984	0.044083234	0.10597896	0.48111558	0.24797471	0.014824505	0.09759404
a20	0.037511304	0.020997474	0.29500875	0.31327003	0.30609193	0.021263916	4.9162656e-05	0.005807391
a31	0.012033362	0.015693564	0.1209153	0.23216611	0.30831844	0.110753015	0.009164107	0.19095607
a20	0.0807344	0.051201075	0.30791685	0.27413607	0.24792078	0.01969502	0.0001038929	0.018291892
a24	0.029127296	0.03842047	0.122229554	0.19629218	0.15418261	0.05586532	0.009837351	0.39404514
a31	0.0450606	0.07074278	0.0915752	0.13129106	0.1614803	0.08763704	0.014328418	0.3978847
a38	0.03217358	0.028705154	0.060234178	0.06795498	0.49555627	0.17176639	0.005123998	0.13848545
a31	0.018939331	0.030181205	0.073362194	0.10994311	0.2212802	0.14933978	0.028789716	0.36816445
a28	0.044742413	0.04627147	0.03440723	0.024984162	0.28319475	0.10957958	0.019990629	0.43682978
a20	0.22039892	0.25630587	0.09095897	0.0695625	0.07753453	0.026884904	0.006150516	0.25220373
a31	0.24509524	0.23325273	0.051108327	0.042777196	0.0965961	0.089392014	0.025847733	0.21593058
a24	0.05728262	0.099639766	0.032347865	0.0355779	0.23506689	0.14326742	0.033911135	0.36290637
a8	0.26410535	0.27328113	0.076149285	0.045556847	0.12959658	0.068145305	0.020769512	0.12239594
a38	0.0999592	0.11156914	0.0766601	0.05684911	0.16950916	0.16225351	0.06908946	0.2541103
</S>	0.17452243	0.17286994	0.045038827	0.030838665	0.124799326	0.15971975	0.11940208	0.17280895
