 	i	bambini	non	possono	mangiare	il	gelato	prima	che	che	mangiano	</S>
a8	0.002634984	0.0013838063	0.0028339433	0.030235909	0.24650933	0.28390104	0.12595196	0.058730613	0.1424908	0.0756506	0.010809164	0.018867848
a31	0.0039772033	0.03665228	0.14001966	0.0467504	0.062258977	0.088541366	0.12707664	0.10982201	0.19993448	0.14185971	0.019131912	0.023975292
a28	0.0010157195	0.0030938885	0.006273067	0.2947095	0.36423188	0.2434545	0.041063167	0.00844313	0.017674696	0.014664	0.0031663715	0.0022100366
a31	0.01030914	0.083123654	0.05621092	0.02540346	0.070779964	0.119237766	0.071366124	0.08167502	0.1494751	0.21794489	0.08511889	0.029354984
a20	0.007087785	0.024904383	0.025080688	0.0795946	0.17605108	0.26923168	0.16629013	0.11693078	0.065521136	0.044053927	0.024050975	0.0012028286
a31	0.024990251	0.08759542	0.094156295	0.014835279	0.02609589	0.053233985	0.065180615	0.1215663	0.13053545	0.20015389	0.15541095	0.026245689
a21	0.011926211	0.0076887156	0.007846795	0.036712937	0.0677543	0.17180125	0.2067374	0.20323393	0.10133704	0.0709211	0.113027856	0.0010124333
a31	0.010982591	0.02763979	0.03830995	0.0076369816	0.032543164	0.11066845	0.14880313	0.2252333	0.20071906	0.12869145	0.04504941	0.02372278
a17	0.008429123	0.021666855	0.03100823	0.042396933	0.104054675	0.21150042	0.21457225	0.16347383	0.1096826	0.051728286	0.040324315	0.0011624765
a29	0.0076362537	0.020458374	0.041455656	0.009187017	0.039994437	0.13355377	0.20221539	0.23823343	0.17450953	0.08402175	0.02541743	0.023316983
a24	0.0027398118	0.006389309	0.023818986	0.019278722	0.049051855	0.13824111	0.20299809	0.14225878	0.23520002	0.116670094	0.034550622	0.028802622
a37	0.0035371808	0.008262209	0.034200147	0.04746527	0.08134662	0.121766634	0.14120463	0.07612219	0.25740656	0.15922734	0.04785196	0.021609252
a8	0.0039197835	0.011770162	0.048402708	0.06288843	0.115486115	0.16685921	0.13832638	0.07602668	0.20911156	0.11525067	0.040440433	0.011517919
a31	0.00044560642	0.0024597545	0.008929016	0.01749821	0.037500467	0.087227456	0.10801169	0.09941416	0.2645044	0.21505491	0.11566477	0.043289576
a24	0.036387622	0.087537795	0.064311735	0.054915648	0.09640387	0.17628197	0.22660539	0.18289669	0.042854007	0.016197838	0.007139229	0.0084681865
a31	0.04260263	0.046407208	0.035274588	0.0353172	0.055721372	0.08579466	0.1347314	0.09903499	0.16650948	0.14617173	0.085180916	0.06725384
a17	0.04153387	0.063369766	0.0359836	0.058222953	0.0997361	0.19860293	0.24226595	0.1675722	0.04625085	0.02506618	0.012555695	0.008839867
a31	0.052212726	0.058726076	0.037605267	0.029040039	0.052445184	0.09643847	0.14763227	0.14463714	0.13243014	0.09549544	0.043043822	0.11029343
a39	0.044231787	0.0868988	0.031247163	0.04371522	0.08591868	0.1666408	0.20020787	0.18654343	0.06154965	0.032706484	0.012367753	0.047972415
a35	0.08335917	0.083594814	0.039193932	0.025472134	0.040908743	0.076653875	0.12629943	0.13968877	0.121027604	0.092473865	0.03750433	0.13382334
a8	0.05087446	0.047925133	0.030350149	0.026387434	0.047170244	0.080316	0.12802725	0.12503764	0.1381377	0.12685442	0.080058895	0.11886066
a31	0.018841589	0.024947103	0.034413774	0.035036813	0.04718002	0.06905388	0.13847499	0.09656277	0.18958902	0.17372067	0.09071803	0.08146132
a37	0.07389786	0.08478203	0.03851228	0.02926743	0.066168875	0.11312137	0.14669235	0.16454887	0.08825071	0.05393577	0.023956005	0.11686638
a38	0.063156955	0.05476694	0.02771888	0.025156576	0.049781766	0.08198723	0.12361428	0.12102768	0.12630168	0.12073602	0.08887518	0.11687681
a31	0.04479648	0.0443088	0.03056265	0.029527117	0.043930043	0.068663344	0.12841123	0.10647431	0.15382008	0.14972873	0.10189756	0.0978796
a0	0.055934414	0.05754333	0.032452043	0.033321254	0.07778755	0.118334584	0.1470368	0.15136436	0.10162413	0.0707872	0.040582042	0.113232255
a23	0.06668792	0.05823673	0.028171597	0.02538808	0.04326903	0.071183085	0.12122238	0.11553735	0.13166046	0.12985681	0.09398443	0.11480212
a31	0.05517432	0.052135665	0.029767264	0.028155623	0.04094135	0.063247286	0.12139212	0.10662467	0.14730588	0.148376	0.101062715	0.1058171
a17	0.07120708	0.07142676	0.029492605	0.031353723	0.0730105	0.10491996	0.12844205	0.12984781	0.11152876	0.08914127	0.05139674	0.10823273
a31	0.084725544	0.072357304	0.027839087	0.025210505	0.045380775	0.07094953	0.11046143	0.10748725	0.1258601	0.13100417	0.0944632	0.104261115
a28	0.08924182	0.09212771	0.031240067	0.02962888	0.058153886	0.08580239	0.11723435	0.115195334	0.119691014	0.10613283	0.057223037	0.09832865
a18	0.1039615	0.09006922	0.0309776	0.02579375	0.042558674	0.06523526	0.102571145	0.10103198	0.1241909	0.1336599	0.08571758	0.09423254
a33	0.10418728	0.091172725	0.031439714	0.025855191	0.038101383	0.05859233	0.10233653	0.09862673	0.1272176	0.13897276	0.08905833	0.09443935
a8	0.14971599	0.14850187	0.059309416	0.041383326	0.031876314	0.03414602	0.07213259	0.06008516	0.12733136	0.15708935	0.057626158	0.060802463
a31	0.15347995	0.15465508	0.066008136	0.044021416	0.03157039	0.032747712	0.067595	0.057597484	0.12712388	0.1602491	0.05097698	0.053974863
</S>	0.101747304	0.09383794	0.04066697	0.033566844	0.05406501	0.07016565	0.09565825	0.093913674	0.1292258	0.15004559	0.07459897	0.062507994
