 	è	pericoloso	di	nuotare	nella	notte	</S>
a31	0.0026483033	7.4463e-05	1.914034e-05	0.9814983	0.0025370063	0.00087513524	0.012347631
a20	0.013815757	0.50949764	0.29979143	0.14950758	0.02607241	0.00025931137	0.0010559075
a31	0.011465144	0.07420248	0.032727893	0.8498557	0.009932769	0.020814814	0.0010012023
a37	0.0041296966	0.29185146	0.11554551	0.5468813	0.019502368	0.021870682	0.00021896393
a31	0.007660434	0.45201007	0.31415883	0.20009659	0.008007528	0.017859587	0.00020691517
a30	0.06941584	0.4645833	0.37240604	0.05934553	0.0072633103	0.02662876	0.00035716675
a13	0.05000555	0.3231942	0.44750476	0.13015854	0.027010905	0.021567218	0.0005587318
a20	0.21353167	0.31346294	0.38607448	0.048634633	0.028369874	0.0045043365	0.005422029
a41	0.12660366	0.36988622	0.33786678	0.082571976	0.059892144	0.0038942448	0.019284999
a33	0.07536767	0.20080073	0.14100072	0.13586442	0.38220146	0.015377136	0.04938793
a31	0.10237243	0.28712153	0.20065504	0.105223946	0.25450855	0.0049575483	0.04516097
a41	0.05494298	0.087436154	0.060215548	0.15869103	0.4481624	0.11311994	0.07743193
a0	0.12806743	0.09391155	0.06709021	0.1196204	0.37450975	0.10950594	0.107294746
a31	0.14942685	0.09656062	0.062344577	0.09403906	0.36870244	0.117773816	0.11115267
a24	0.03692847	0.074038506	0.04353296	0.11901256	0.4512912	0.1653978	0.10979854
a31	0.20909716	0.14624646	0.08386766	0.05398208	0.29935908	0.11749082	0.08995679
a20	0.01633801	0.08766571	0.060483478	0.0801863	0.384604	0.22325929	0.14746323
</S>	0.14807773	0.12541021	0.08326966	0.0585357	0.29175383	0.16484329	0.12810954
