 	se	aveva	vestito	la	figlia	l	avessi	portato	alla	chiesa	</S>
a23	5.791742e-05	1.8608374e-05	5.53561e-06	0.00036170473	0.0022814965	0.0039219656	0.00329024	0.00046749535	0.13720171	0.054312762	0.7980806
a31	0.0130965095	0.040367644	0.2478423	0.15372421	0.024094095	0.012721167	0.009983406	0.0059684636	0.2082961	0.23162284	0.052283272
a20	0.0015638915	0.0014091268	0.0031101147	0.32554784	0.4067994	0.08523483	0.11142679	0.038944807	0.015382712	0.0072203767	0.0033600936
a13	0.015386666	0.066200234	0.1999503	0.14275841	0.07240042	0.08552465	0.32251805	0.042799678	0.027352322	0.019644855	0.005464442
a37	0.013453179	0.020831723	0.03778453	0.08927275	0.07288746	0.08753704	0.43595475	0.09609132	0.05963527	0.05997068	0.02658134
a31	0.003818339	0.0042739073	0.008229487	0.027952584	0.07844739	0.0841226	0.41324422	0.18783477	0.093550034	0.09101297	0.0075136703
a43	0.037012115	0.022475846	0.038288053	0.054725356	0.22350281	0.31627104	0.13144654	0.13680302	0.02980799	0.007826312	0.0018409436
a31	0.02852794	0.010313392	0.024450997	0.10309876	0.2419082	0.07383062	0.1293062	0.05093732	0.1711102	0.15121058	0.015305829
a24	0.13946934	0.06540551	0.14953092	0.29219383	0.20222928	0.08293935	0.02351302	0.019069716	0.01995187	0.0048820176	0.0008151305
a7	0.052942447	0.03554537	0.06324682	0.17400466	0.14248241	0.042996287	0.03630068	0.030840972	0.23558101	0.17038022	0.015679156
a31	0.05389251	0.033458024	0.06625467	0.15101129	0.17081037	0.07944921	0.062216878	0.042141587	0.18029682	0.15037493	0.010093764
a13	0.11249665	0.09493353	0.13219012	0.34112167	0.15628298	0.03726745	0.019266658	0.011237992	0.06986288	0.023625461	0.001714659
a28	0.07280585	0.06395908	0.090732865	0.17953445	0.095686704	0.030021593	0.024708988	0.025485702	0.23020165	0.17411767	0.012745421
a20	0.07911582	0.054667566	0.07769279	0.09618056	0.079994075	0.07623819	0.07109665	0.04451033	0.20187217	0.19645923	0.02217262
a31	0.08318608	0.060344707	0.08276257	0.10266488	0.098707	0.09802015	0.090221025	0.043250393	0.16472211	0.15680225	0.019318918
a37	0.08583127	0.08860281	0.084469795	0.2100416	0.15421999	0.027605327	0.028078368	0.029100087	0.19188595	0.09529239	0.004872369
a1	0.09785365	0.07407318	0.073280334	0.06906579	0.052793324	0.05908671	0.06813329	0.05233674	0.19818324	0.21007274	0.045120962
a28	0.07985893	0.054633528	0.07390521	0.08160488	0.071080714	0.0931957	0.093916975	0.045931783	0.18138638	0.18674663	0.03773924
a1	0.077369586	0.060516715	0.06189289	0.061761286	0.06405838	0.11258346	0.10850262	0.059279244	0.16692828	0.17516269	0.05194487
a28	0.060066298	0.049369246	0.059197575	0.070514254	0.08724039	0.15386403	0.121617384	0.05511783	0.15036371	0.15163903	0.04101028
a31	0.06264766	0.051451635	0.05053622	0.05544731	0.07730275	0.15629947	0.12774079	0.068823375	0.14866799	0.15079014	0.050292745
a20	0.061747152	0.04781554	0.043093145	0.0692281	0.11632708	0.10314307	0.10119769	0.0979419	0.16367993	0.15099739	0.044829015
a31	0.09436168	0.06257361	0.04696739	0.038992256	0.04390896	0.11341212	0.10136012	0.083645105	0.14580719	0.16772705	0.10124457
a20	0.08252857	0.07416971	0.042556837	0.048000317	0.055878058	0.067761436	0.034127615	0.11457825	0.19308187	0.18006343	0.1072539
a31	0.1886752	0.13161607	0.08208533	0.039740533	0.02274372	0.03904867	0.043956723	0.05793452	0.11502267	0.16423431	0.11494218
a8	0.09224429	0.11415705	0.07471296	0.057645567	0.025826314	0.031201182	0.014203545	0.08191805	0.17013894	0.20130682	0.1366453
</S>	0.20177864	0.17633785	0.12658308	0.056517165	0.022133663	0.021972815	0.026009439	0.04438233	0.08938635	0.1532234	0.0816752
