 	non	deve	magniare	la	sera	</S>
a20	0.4377427	0.0021618076	0.07419682	0.09150802	0.032001074	0.3623896
a31	0.7443426	0.02741219	0.05896959	0.12665696	0.035122436	0.0074962126
a18	0.70466715	0.25904015	0.0005159168	0.004723833	0.029379196	0.0016737662
a37	0.20329066	0.7120758	0.006850167	0.008719232	0.059792656	0.009271538
a18	0.09153278	0.8863066	0.0024353634	0.0016413295	0.013277322	0.004806637
a31	0.10786459	0.8367573	0.0057456554	0.006436102	0.03180396	0.01139232
a13	0.09291396	0.62165487	0.05070169	0.03317458	0.10628011	0.09527478
a31	0.081893995	0.26891932	0.07267927	0.13704072	0.3815275	0.0579391
a17	0.07176882	0.15162744	0.17537768	0.2007033	0.22115968	0.17936312
</S>	0.045562137	0.10975684	0.17339122	0.21412307	0.32746163	0.1297051
