 	il	lenzuolo	vuole	lavato	</S>
a31	0.007345526	0.0019493325	0.0012473628	0.96426755	0.025190178
a7	0.0070695817	0.02609911	0.27058008	0.4385946	0.25765654
a31	0.00038524237	0.01685398	0.9339957	0.04821621	0.00054880884
a0	0.0008294476	0.6206455	0.36146426	0.016493924	0.0005669019
a17	0.005127239	0.29935658	0.6637052	0.031055585	0.00075547415
a13	0.006478622	0.092174724	0.62313753	0.26610866	0.012100521
a31	0.012379415	0.06352527	0.3395378	0.35497773	0.2295798
a17	0.07242344	0.13738653	0.22408207	0.31559074	0.25051716
a8	0.09349966	0.084910564	0.21461558	0.19200845	0.41496575
a31	0.120741785	0.14377384	0.28459376	0.20441946	0.24647114
a24	0.10605325	0.06503662	0.18496563	0.118455686	0.5254888
a46	0.23949148	0.13019212	0.28018248	0.1653627	0.18477121
a24	0.1929224	0.1388577	0.25342005	0.18273854	0.23206127
a37	0.17752744	0.12981053	0.23313655	0.19084278	0.2686827
a31	0.120795146	0.10304819	0.20879054	0.23808771	0.32927844
</S>	0.097626805	0.05684234	0.25171742	0.22415812	0.36965534
