 	se	la	pasta	aveva	voluto	sale	lo	avevo	messo	</S>
a31	0.00072635984	0.0006065342	0.000519003	0.0016715162	0.9844135	0.004272145	0.005886964	0.00087638124	0.00011645767	0.000911082
a20	0.018262321	0.048003897	0.21834502	0.5716552	0.024023117	0.028371824	0.058029626	0.030982029	0.00074689015	0.0015800359
a31	0.047140073	0.05722376	0.050801158	0.54336417	0.11573267	0.019027593	0.12335261	0.027794307	0.012865103	0.002698455
a21	0.0015713742	0.0028260483	0.010757875	0.20897478	0.5038101	0.09206276	0.12377297	0.045513906	0.010094075	0.0006160983
a31	0.022376494	0.07079459	0.20250414	0.45238268	0.008440505	0.020422818	0.0677094	0.072097324	0.05642353	0.026848566
a13	0.038830545	0.13634372	0.32792985	0.13435312	0.095980026	0.05535812	0.0712077	0.08393776	0.050411496	0.0056477175
a31	0.06172228	0.17688106	0.2099253	0.23254147	0.009776096	0.024130462	0.08035376	0.098381184	0.0368511	0.069437265
a6	0.15107735	0.31570873	0.26398987	0.10250363	0.018921217	0.015610936	0.028293427	0.039783787	0.04787723	0.016233765
a46	0.10345206	0.23106785	0.18370703	0.19210991	0.0029190776	0.015095131	0.05802061	0.06181488	0.023444813	0.1283687
a31	0.28692675	0.3388557	0.13698088	0.106320456	0.0010192989	0.009646235	0.026534323	0.03143582	0.015503673	0.046776827
a46	0.08697777	0.24965757	0.25720355	0.30755356	0.0028826369	0.009291211	0.020687187	0.023560189	0.027801357	0.01438491
a11	0.14403199	0.3076409	0.2095613	0.20830125	0.0016799778	0.019528892	0.027799707	0.022333728	0.013784431	0.045337845
a37	0.22857459	0.31959188	0.19839899	0.16320167	0.0027724789	0.018581308	0.01752127	0.01549645	0.010105932	0.025755407
a18	0.22692633	0.3161552	0.2104622	0.16689882	0.0040118545	0.01918199	0.015047877	0.011041984	0.009365135	0.02090861
a46	0.2430991	0.27757123	0.20669955	0.17353538	0.004639328	0.02059144	0.017540982	0.012190093	0.010867206	0.033265736
a31	0.22887164	0.2447098	0.20318444	0.18239896	0.009234344	0.027795643	0.02246362	0.016834553	0.011900566	0.0526064
a20	0.10844654	0.19955543	0.19839752	0.22457984	0.05736146	0.06805167	0.048972983	0.04756176	0.014844351	0.03222846
a35	0.26884422	0.23881736	0.17834473	0.15456308	0.015062446	0.037015557	0.024683088	0.017073717	0.011932501	0.053663313
a6	0.23089793	0.20557964	0.16326277	0.15059245	0.029568916	0.051393785	0.035479452	0.030276995	0.014261661	0.08868641
a13	0.23359543	0.18377024	0.13133316	0.11850149	0.0555436	0.06565127	0.0450387	0.04586398	0.016588131	0.10411407
a28	0.18502042	0.14023007	0.09866796	0.09016229	0.10411637	0.08580076	0.06403178	0.075830765	0.020055592	0.136084
a31	0.162101	0.12660803	0.09129397	0.08531376	0.11812447	0.09476681	0.07156636	0.08657399	0.020712825	0.14293881
a10	0.10013568	0.07955285	0.058623698	0.05951668	0.14553767	0.14268598	0.1115923	0.12370743	0.034407265	0.14424048
a24	0.17483875	0.11673147	0.06639663	0.055499215	0.13652422	0.09849257	0.08082345	0.10729919	0.028248642	0.13514589
a31	0.23068312	0.16434	0.0793241	0.05478755	0.10202877	0.094505824	0.06845525	0.090707846	0.029874299	0.08529328
</S>	0.119228676	0.106378846	0.054614466	0.03914116	0.13999327	0.15272692	0.11144198	0.1418403	0.033109114	0.10152522
