 	lo	posso	finire	di	fare	</S>
a20	0.0018137598	9.20866e-05	0.0011277937	0.017666848	0.0058006	0.97349894
a31	0.19485629	0.018264677	0.31157997	0.23931167	0.03399558	0.20199184
a46	0.14417759	0.7989028	0.019829571	0.026444755	0.008422425	0.0022228481
a31	0.058068637	0.8804351	0.051619742	0.002520118	0.006862955	0.0004935243
a41	0.06486572	0.7517939	0.114359	0.027562412	0.039483286	0.0019356344
a18	0.07460328	0.8055887	0.094629824	0.001917999	0.023093965	0.00016623143
a7	0.08126469	0.7570452	0.110444	0.004502315	0.046307813	0.00043599226
a41	0.109476745	0.4207332	0.2563819	0.08243494	0.117561005	0.013412212
a31	0.14748056	0.12641561	0.23298402	0.26142988	0.18330498	0.048384946
a0	0.12249739	0.15082014	0.14322898	0.3325984	0.10259393	0.14826114
a31	0.2018035	0.12858595	0.24466477	0.2611606	0.09663266	0.06715249
a39	0.05176047	0.0936941	0.15479961	0.3607852	0.09825014	0.24071048
a46	0.21945761	0.18018551	0.24022706	0.21921119	0.08211112	0.05880744
</S>	0.26389587	0.26849836	0.19961669	0.16247706	0.060401157	0.045110937
