 	dovevo	comprare	il	pane	</S>
a31	0.28175178	0.03675309	0.008702526	0.4668235	0.20596913
a46	0.012906954	0.12822907	0.6566433	0.15653254	0.04568818
a31	0.03520067	0.05930262	0.17120266	0.5647986	0.1694955
a18	0.013188507	0.06260162	0.35781676	0.5437452	0.022647943
a13	0.009778099	0.13174526	0.6884885	0.13231239	0.03767574
a0	0.021079574	0.11531937	0.5957931	0.070198536	0.19760934
a20	0.02276711	0.13910043	0.54432553	0.039194614	0.25461227
a7	0.07816513	0.21540546	0.41490093	0.10947932	0.18204919
a20	0.08980226	0.17894603	0.27368993	0.1949084	0.26265338
a31	0.16218548	0.1961131	0.20650317	0.15492147	0.28027678
a11	0.12804124	0.2548931	0.1627046	0.23648244	0.21787861
a39	0.33496436	0.27893314	0.16724269	0.10235145	0.1165084
a31	0.3803267	0.22683416	0.14165924	0.10160472	0.1495752
a13	0.1811582	0.30572036	0.14234464	0.18829603	0.18248084
a17	0.42649794	0.25270227	0.13115074	0.087143876	0.10250525
a31	0.41502884	0.23555663	0.12322872	0.088560976	0.13762479
a46	0.27264088	0.32461312	0.16272712	0.1091615	0.13085745
a20	0.4112793	0.29607576	0.14817964	0.07938052	0.06508476
a31	0.3774552	0.2972676	0.1565857	0.085211165	0.08348035
</S>	0.29072055	0.30837092	0.20405412	0.118913434	0.07794102
