 	cosa	fa	Anna	il	sabato	mattina	</S>
a46	0.0001881911	0.0001481029	0.0001538362	0.0004050969	0.009634842	0.9206467	0.06882327
a31	0.0016961129	0.0025053087	0.019544095	0.4113668	0.19899267	0.32306227	0.04283275
a6	0.0003759502	0.0015077728	0.01927082	0.29880482	0.65502983	0.017165128	0.007845745
a31	0.0003546093	0.0013112234	0.022357872	0.7018109	0.11195025	0.15918167	0.0030334916
a37	0.00022918418	0.0010521294	0.06559544	0.80998284	0.11939695	0.0035342257	0.00020927805
a31	0.0002145236	0.0016490165	0.08327238	0.77219075	0.12942834	0.008455078	0.0047898376
a17	0.00018195201	0.0005060377	0.19066401	0.7260649	0.08238602	7.215752e-05	0.00012482906
a31	0.0005377974	0.0029876651	0.1347444	0.6193055	0.20161934	0.0054337895	0.035371512
a17	0.001381776	0.0061893426	0.24227577	0.66360617	0.083398186	0.0007905467	0.0023582377
a31	0.003081138	0.010210496	0.1147829	0.45800984	0.2536632	0.017429171	0.1428232
a8	0.010085496	0.023314642	0.16391538	0.53718215	0.20626996	0.018360443	0.040871866
a31	0.011110494	0.018872986	0.059882715	0.2969895	0.15707454	0.07344475	0.38262507
a28	0.026775025	0.035236213	0.06694979	0.19213594	0.21215935	0.26355404	0.20318969
a0	0.016057298	0.031005496	0.02311078	0.099261306	0.1969838	0.37948623	0.2540951
a41	0.02558632	0.03863172	0.037372228	0.16977108	0.2610875	0.27841485	0.1891363
a39	0.03412727	0.045264952	0.103682294	0.1930475	0.23461089	0.21792275	0.17134438
a31	0.046394724	0.066376045	0.11123976	0.15176105	0.21562931	0.24234515	0.16625398
a39	0.019105282	0.04638744	0.031018326	0.06506115	0.24398129	0.3516837	0.24276279
a31	0.09393839	0.11433931	0.1133057	0.12105235	0.17445374	0.2474206	0.13548999
a18	0.025658999	0.060976543	0.032973778	0.050647452	0.18036677	0.4716148	0.17776157
a31	0.14950311	0.16853517	0.10814864	0.09646941	0.12962721	0.27630687	0.07140953
a18	0.028379017	0.07159444	0.0484642	0.06461705	0.18493728	0.4624321	0.1395759
a31	0.1671665	0.18604647	0.116730414	0.09699059	0.12382048	0.2590385	0.050207037
a39	0.031848107	0.08356823	0.057534996	0.07907268	0.1986083	0.40395793	0.14540973
a41	0.163137	0.18213624	0.12968118	0.10853595	0.13195245	0.2385102	0.04604695
a8	0.1903303	0.19608647	0.12508406	0.10106573	0.12073212	0.22443807	0.042263262
a31	0.08257497	0.11550416	0.14838554	0.14034319	0.16069724	0.29724482	0.05525011
a46	0.13969618	0.1541537	0.10535573	0.099741	0.20185123	0.22566245	0.07353977
a8	0.19693549	0.1959497	0.12719403	0.103432484	0.12361857	0.21064156	0.042228226
</S>	0.08951112	0.12306759	0.15287815	0.14240056	0.16133144	0.27620158	0.054609556
