 	ogni	giorno	bisogna	che	compriamo	il	pane	</S>
a20	0.08666232	0.022903543	0.049416907	0.00076518545	0.3291074	0.062204394	0.046856023	0.40208417
a0	0.0027682772	0.0016927175	0.0015762161	0.0068811374	0.9683833	0.009742552	0.0061372416	0.0028184864
a28	0.00061224867	0.00017965684	9.313739e-05	0.0022938468	0.043753374	0.9404871	0.0072132754	0.005367357
a31	0.00048509802	0.0005472903	0.0003456729	0.0060347687	0.023588598	0.95135015	0.013931336	0.0037170586
a24	0.00028634403	0.0012861938	0.0020366532	0.011657149	0.11028639	0.8610014	0.012743659	0.0007022668
a46	0.0006476809	0.0008667366	0.0010536043	0.010328883	0.03574682	0.81515336	0.13157852	0.0046243784
a31	0.0018817105	0.002150137	0.004397915	0.030058539	0.058312193	0.59797275	0.28933728	0.015889514
a24	0.0024383941	0.0026815506	0.00984855	0.05257705	0.050760657	0.32813463	0.5182309	0.03532826
a31	0.0037722187	0.003788312	0.014104121	0.05292399	0.025530498	0.21608818	0.4880464	0.19574624
a20	0.00864799	0.0049873195	0.011988284	0.03905458	0.053775333	0.2307751	0.42969567	0.22107576
a29	0.008388727	0.0063467384	0.023435894	0.058621567	0.024277614	0.09521737	0.38612607	0.397586
a20	0.012825265	0.014130655	0.040170886	0.058243196	0.045804724	0.18459164	0.34743413	0.29679945
a29	0.024672877	0.020786634	0.03656423	0.056735467	0.052011684	0.18378961	0.32496548	0.300474
a13	0.02818344	0.026416624	0.038082987	0.053489707	0.0502222	0.22096778	0.31440198	0.2682353
a17	0.033550985	0.030848542	0.03892569	0.05264918	0.050598722	0.21873192	0.31256336	0.2621316
a31	0.046746258	0.038740188	0.04169014	0.05282365	0.051069308	0.1882836	0.312398	0.26824886
a44	0.09160515	0.05578081	0.040843986	0.058460794	0.030201027	0.19749063	0.28474203	0.24087557
a8	0.06661198	0.06324403	0.09079148	0.08953524	0.07742054	0.08325998	0.25129607	0.2778407
a6	0.05663123	0.055476494	0.09460641	0.094040774	0.07711512	0.08079499	0.25762787	0.28370705
</S>	0.12000562	0.10037446	0.07626392	0.06406969	0.050597522	0.08402291	0.251727	0.2529389
