 	l	ha	scritta	</S>
a20	0.0061659715	0.0028371057	0.019334912	0.97166204
a31	0.6338693	0.0367813	0.026343038	0.30300632
a35	0.9041961	0.032264818	0.036334053	0.027205043
a31	0.31160134	0.14477506	0.39192665	0.15169698
a35	0.14913483	0.4452713	0.37241438	0.033179466
a31	0.41130215	0.51593864	0.05737459	0.015384657
a41	0.22707804	0.6015687	0.102423474	0.068929784
a31	0.40486997	0.36806992	0.19808789	0.02897218
a11	0.17710845	0.27183485	0.27785376	0.27320296
a18	0.11634267	0.24853712	0.30271077	0.33240947
a13	0.16973238	0.30539623	0.4000141	0.12485739
</S>	0.3847618	0.31476265	0.23339567	0.06707988
