 	non	ho	scritto	mai	una	lettera	al	mio	fratello	</S>
a31	0.007054846	0.0055564134	0.00935069	0.001773895	0.020597186	0.933273	0.015505267	0.0007819626	0.00078402646	0.0053226366
a37	0.0018147068	0.0047726654	0.035902444	0.06228497	0.21499926	0.37908262	0.28609857	0.00928435	0.0037480805	0.002012281
a31	0.0021641187	0.0020760766	0.003999737	0.13524647	0.816848	0.023178758	0.005029254	0.00038222817	0.008906888	0.0021685006
a20	6.15605e-05	0.0016301483	0.0019549078	0.19253296	0.68277353	0.099111915	0.011818634	0.0009874245	0.008825816	0.00030317385
a31	6.201462e-05	0.00059347553	0.0033804919	0.32704258	0.6026545	0.027262582	0.017147558	0.0014363459	0.01983202	0.0005884484
a13	0.0014402373	0.06601041	0.09281001	0.44963124	0.27444753	0.0675034	0.025642179	0.006195343	0.015989732	0.00032987565
a31	0.00037091871	0.0036852548	0.011959896	0.23150034	0.465696	0.08304649	0.12041366	0.013540091	0.064803116	0.004984248
a20	0.0050197653	0.08148859	0.124600455	0.4557078	0.25768885	0.037826747	0.021932753	0.008535212	0.006473437	0.0007263874
a17	0.0012183646	0.0083112875	0.025909849	0.20199877	0.42837262	0.104359545	0.15758528	0.021876618	0.04232396	0.008043685
a20	0.013578649	0.02268827	0.10091685	0.20700988	0.22640342	0.1477535	0.12929046	0.0973372	0.038418006	0.01660375
a31	0.0059092767	0.0077468245	0.061591815	0.16067836	0.16394	0.17178208	0.22250657	0.12002322	0.06757058	0.018251324
a20	0.012574761	0.015263479	0.07103151	0.10130895	0.20411718	0.13884342	0.3099832	0.082794055	0.05200257	0.012080857
a31	0.040236674	0.022423206	0.08972953	0.09589244	0.097606726	0.12261205	0.20958702	0.12663984	0.120148815	0.075123705
a3	0.038553655	0.029788775	0.085286595	0.054875072	0.091150604	0.12420088	0.22717425	0.23282427	0.05270645	0.06343948
a8	0.096871994	0.065205835	0.20434631	0.098486505	0.07050956	0.07866615	0.11954546	0.06336732	0.0742041	0.12879679
</S>	0.09692021	0.08799977	0.20170261	0.11018209	0.072936706	0.0856098	0.10079164	0.13438341	0.06330436	0.04616946
