 	forse	sono	usciti	</S>
a23	0.01042383	0.0017346734	0.029552117	0.9582893
a31	0.097819984	0.0015686147	0.011325186	0.88928616
a23	0.81409514	0.0008766091	0.0046441425	0.18038414
a31	0.47639894	0.030993322	0.12466752	0.36794022
a10	0.16836059	0.4176083	0.25096902	0.16306214
a37	0.41660863	0.11605015	0.36104774	0.10629342
a31	0.30983832	0.24110591	0.3803198	0.06873595
a37	0.03226181	0.5829385	0.23112626	0.15367343
a31	0.15629664	0.6516597	0.14009486	0.051948775
a39	0.13414723	0.470456	0.13518801	0.2602087
a31	0.22762983	0.3960583	0.109050214	0.26726162
</S>	0.15604678	0.3537598	0.13108814	0.35910532
