 	non	ci	dimentichiamo	mai	</S>
a31	0.004408886	0.24107976	0.0071408395	0.021611003	0.7257595
a20	0.31450322	0.48161024	0.0042830883	0.031013278	0.16859016
a31	0.044698104	0.79874146	0.10543704	0.0356233	0.015500063
a11	0.024903068	0.62729484	0.22652078	0.110866174	0.010415121
a20	0.68974435	0.2160145	0.016717965	0.061024364	0.016498802
a31	0.5434962	0.23610167	0.033146117	0.16685641	0.02039961
a11	0.54342324	0.08879055	0.014789903	0.30830228	0.04469398
a31	0.41301322	0.12522744	0.12111282	0.32721925	0.013427303
a18	0.28932473	0.10478407	0.19021375	0.3675001	0.048177302
a42	0.19043937	0.0918286	0.31428644	0.3703602	0.03308545
a31	0.09119119	0.20417608	0.34340444	0.31640485	0.044823397
a18	0.0633149	0.102109805	0.48718417	0.27599955	0.07139163
a31	0.16126877	0.22378764	0.31157073	0.23094779	0.07242506
a39	0.055904757	0.16591842	0.39529023	0.28363284	0.09925372
a31	0.18762816	0.22448272	0.2720124	0.21979931	0.096077435
a20	0.05542555	0.20766564	0.33384854	0.2711189	0.13194141
a39	0.18009886	0.22598852	0.25867444	0.21725686	0.117981344
a31	0.24728258	0.20636225	0.2693633	0.20189123	0.0751007
a14	0.0760393	0.2332421	0.28448313	0.247904	0.15833147
a46	0.2411752	0.20787549	0.25963357	0.20516741	0.08614831
a20	0.2521314	0.19945617	0.27856869	0.2005376	0.06930619
a31	0.25051743	0.19525208	0.28372025	0.19904612	0.07146409
</S>	0.2396994	0.19887514	0.26598328	0.20247874	0.0929634
