 	mi	sono	vestito	</S>
a39	0.60247904	0.0019711892	0.0049582566	0.3905915
a11	0.87811834	0.011530456	0.027174119	0.083177075
a13	0.011830217	0.19187063	0.5786793	0.21761985
a18	0.02277117	0.30047014	0.63956124	0.03719747
a31	0.0155503275	0.45831075	0.4825976	0.043541282
a37	0.04772906	0.44552258	0.34788516	0.15886323
a15	0.04221071	0.39181244	0.2998886	0.26608825
a31	0.12394018	0.34490758	0.24766402	0.28348824
a46	0.15207608	0.31412452	0.12482361	0.40897575
a31	0.33534023	0.41662824	0.13992825	0.10810323
a20	0.29498118	0.39537418	0.11706738	0.19257718
a31	0.276309	0.4853427	0.15471058	0.083637625
</S>	0.25283578	0.40501493	0.13550915	0.20664015
