 	dovevo	comprare	il	pane	ogni	giorno	</S>
a31	0.01841323	0.020940594	0.025485272	0.9301563	0.004619064	0.00013280778	0.00025270574
a28	0.0014267177	0.027787842	0.1567484	0.63407654	0.1787148	0.0009339962	0.00031174938
a11	0.062376767	0.041342705	0.09146421	0.7226884	0.03873885	0.0030111552	0.040377975
a31	0.001421182	0.022845356	0.30864152	0.1667165	0.34177157	0.07393196	0.08467196
a37	0.011118062	0.021135077	0.17279676	0.06043794	0.306165	0.40678227	0.021564871
a31	0.00039916483	0.006262678	0.14773431	0.03913241	0.6452462	0.10904451	0.052180696
a20	0.015977625	0.028784532	0.36390927	0.11740387	0.21811235	0.16121434	0.09459801
a46	0.00062780373	0.004773035	0.10289165	0.047764074	0.5391095	0.18051778	0.124316186
a31	0.027211877	0.08181563	0.21670273	0.14401604	0.24526568	0.1300047	0.15498334
a20	0.039518215	0.08040769	0.13756876	0.32257164	0.1608762	0.03356619	0.22549132
a0	0.0471845	0.104169115	0.17494859	0.14512852	0.20379263	0.11359937	0.21117726
a31	0.22375794	0.19660844	0.108181834	0.09185407	0.10416135	0.08527451	0.19016187
a20	0.056845915	0.11908559	0.07265241	0.16049065	0.16014695	0.09103273	0.33974576
a15	0.28717652	0.25206283	0.11211256	0.08563763	0.06859633	0.04969815	0.14471602
a31	0.321962	0.20534241	0.07840109	0.06211981	0.08367908	0.09742426	0.15107134
a18	0.14247434	0.25222397	0.09922097	0.097268455	0.11595725	0.10238034	0.19047472
a31	0.34607008	0.22383249	0.08195323	0.061538734	0.07047704	0.07809895	0.13802946
a20	0.122731075	0.25943887	0.124936834	0.13413304	0.099195585	0.07108632	0.18847834
a18	0.33684382	0.28335622	0.13013637	0.08737059	0.043176327	0.026858794	0.092257805
a46	0.33245534	0.26283133	0.10808715	0.073723376	0.05732719	0.055904973	0.10967061
a8	0.30921975	0.26148257	0.11593352	0.07854156	0.06171892	0.064515896	0.108587764
a20	0.28401282	0.2817607	0.12914987	0.08808903	0.062226642	0.061927795	0.092833154
a31	0.25113782	0.21897696	0.09815452	0.07096636	0.105716385	0.109132946	0.1459149
a46	0.24768332	0.19641332	0.08425104	0.06744192	0.1325455	0.12594524	0.14571969
a31	0.3170766	0.25864974	0.11817366	0.0797419	0.060142994	0.062830545	0.103384584
a24	0.22326592	0.20389831	0.11088741	0.08635953	0.12867017	0.10246395	0.14445463
a31	0.3159827	0.26942044	0.13836448	0.09358621	0.055860918	0.052857097	0.073928215
</S>	0.17052579	0.19578156	0.14499827	0.12471104	0.12042213	0.07272971	0.17083147
