 	e	che	cucino	</S>
a31	0.0011156313	0.0011692885	0.05406906	0.943646
a24	0.0071362723	0.0038991626	0.08350237	0.90546227
a31	0.0043157665	0.005524421	0.010820161	0.9793396
a11	0.005384993	0.03102858	0.7107144	0.25287202
a46	0.03637416	0.15449917	0.7990183	0.0101083815
a41	0.0751552	0.31486195	0.46090767	0.14907518
a20	0.13907886	0.27919486	0.15627605	0.42545024
a36	0.32838705	0.32146782	0.09973511	0.25041
a31	0.47420335	0.32781014	0.092029214	0.10595731
a46	0.33099884	0.43531471	0.07690125	0.1567852
</S>	0.43257836	0.39317128	0.09555338	0.07869697
