 	era	molto	stanco	</S>
a46	0.9702546	0.00039194257	0.00012577599	0.029227708
a8	0.98080504	0.0146388365	0.0004600111	0.004096097
a37	0.6393961	0.1891851	0.020208005	0.1512108
a31	0.03780055	0.9055251	0.012816911	0.043857433
a0	0.8042581	0.16853149	0.0073395837	0.01987081
a20	0.028206404	0.7837949	0.10656504	0.081433676
a31	0.013000351	0.740302	0.19984943	0.046848223
a39	0.22042008	0.5624342	0.119443245	0.09770248
a41	0.03655162	0.4565919	0.3731794	0.13367707
a31	0.043578457	0.44424936	0.3597682	0.15240404
a28	0.059498776	0.2432951	0.43956345	0.25764272
a11	0.064050734	0.45453373	0.33713585	0.14427972
a20	0.13789876	0.4545548	0.30523536	0.102311075
a31	0.11564549	0.46583092	0.3196505	0.098873064
a11	0.062275257	0.37841675	0.4692061	0.090101905
</S>	0.25456262	0.3852607	0.30778	0.052396573
