 	deve	essere	bianco	</S>
a31	0.004391135	0.9479536	0.011104927	0.036550403
a11	0.0023184414	0.9237316	0.053640787	0.020309182
a31	0.0025734082	0.10614079	0.36357263	0.5277132
a37	0.06614196	0.1743473	0.6588294	0.10068137
a31	0.035046637	0.06166488	0.84932345	0.053964995
a37	0.03345115	0.06646487	0.67064047	0.22944348
a31	0.061910838	0.21773109	0.6484028	0.07195528
a20	0.079734154	0.21551475	0.26176104	0.44299012
a31	0.10890115	0.30782393	0.34888205	0.23439279
a0	0.17150448	0.37413183	0.23828669	0.21607707
a31	0.10796416	0.46240038	0.30072674	0.12890872
a20	0.1401384	0.37638205	0.3151653	0.16831434
a18	0.106716804	0.5271222	0.27290466	0.09325633
</S>	0.38086453	0.4028359	0.16216391	0.05413576
