 	guardate	che	il	ladro	che	il	ladro	è	entrato	da	qui	che	ci	sono	i	segni	</S>
a31	0.00014462034	6.281611e-05	0.0003670265	0.027396554	0.005745615	0.007155684	0.037411097	0.0025534092	0.0020496235	0.0029334398	0.00761285	0.029158695	0.8721803	0.0044351313	0.00020799645	0.00010974596	0.00047541218
a11	0.0023058697	0.0036154194	0.009938627	0.12694378	0.26551184	0.09938024	0.1579109	0.054173164	0.030293252	0.051407456	0.08015274	0.04838365	0.00811044	0.052807737	0.0076330826	0.0012042464	0.0002274859
a37	0.00028037897	4.837988e-05	0.00029881846	0.011638161	0.032234546	0.039013103	0.035876926	0.039814107	0.038615957	0.046844617	0.081524745	0.6210033	0.007996305	0.012379876	0.014866368	0.0135791795	0.0039852075
a28	0.00034173444	0.00026143558	0.0006539845	0.0010993116	0.033228785	0.053912092	0.0046742694	0.22215137	0.1796177	0.16090143	0.1027901	0.15995532	0.0024550385	0.007251818	0.033496432	0.036430076	0.00077906565
a31	0.0032124147	0.0008159367	0.0018452203	0.0012342515	0.06306232	0.14937508	0.016785651	0.20205359	0.11748178	0.14394745	0.134129	0.09827529	0.005234662	0.022876278	0.023579951	0.015899641	0.0001914243
a21	0.0007249632	0.004777034	0.006479311	0.0075156516	0.12275437	0.15546075	0.07650627	0.27197444	0.14167368	0.11950572	0.05859599	0.008369472	0.013533038	0.005574441	0.0037964534	0.0027102262	4.808223e-05
a31	0.010288199	0.0064469273	0.008239395	0.004208351	0.0516123	0.13650419	0.044213414	0.14673196	0.14279835	0.15459663	0.13875328	0.09362141	0.0047068684	0.029438782	0.01638443	0.009656927	0.0017986634
a10	0.0013791547	0.0071307	0.009326993	0.021417893	0.11075302	0.15216912	0.16473627	0.20730455	0.117796406	0.10777489	0.061161757	0.009588234	0.016387561	0.0073136385	0.0034547378	0.002241471	6.353417e-05
a31	0.016179271	0.013261043	0.016739056	0.014090161	0.049720403	0.12981685	0.0844926	0.12009416	0.122671805	0.14122373	0.1364312	0.08464971	0.0072716377	0.03861645	0.01685725	0.006996574	0.0008879966
a3	0.0022052487	0.008421958	0.009864313	0.02788	0.094333194	0.14970906	0.18379755	0.16943046	0.10925324	0.11394958	0.07792549	0.015968418	0.015586346	0.012920721	0.00554666	0.0031004702	0.000107358814
a28	0.019865936	0.019786598	0.023365505	0.025105137	0.049366567	0.10878189	0.09702723	0.08093471	0.091156125	0.12434233	0.14229514	0.10036971	0.010318014	0.06687671	0.028621301	0.009696576	0.0020906099
a31	0.025542654	0.020183371	0.021862755	0.023886971	0.047486074	0.09770046	0.077396005	0.08143663	0.102729976	0.1265629	0.13672943	0.115999825	0.0070232586	0.07102934	0.029573537	0.010370443	0.0044863545
a20	0.005296702	0.009949689	0.012296306	0.042772453	0.07972389	0.13511221	0.21964994	0.12227786	0.085881405	0.10381725	0.08969104	0.029070692	0.018384032	0.0309102	0.010513175	0.0044815037	0.0001716223
a0	0.01763275	0.024237335	0.026130838	0.035865717	0.063714765	0.09771783	0.10137429	0.065590255	0.07538946	0.1136519	0.14329454	0.108079635	0.010263379	0.07213855	0.031458367	0.011878531	0.0015819126
a20	0.03775802	0.025755314	0.03171065	0.037672486	0.043526407	0.08229181	0.08837771	0.057325803	0.0750683	0.1041475	0.12936766	0.12302134	0.0109902015	0.09096407	0.041775428	0.012020909	0.008226368
a31	0.018555973	0.018684002	0.018827667	0.0265536	0.06505952	0.10542029	0.08353903	0.088917	0.10077038	0.12815678	0.13609315	0.10081748	0.006894468	0.05993175	0.027578373	0.012420095	0.0017804262
a20	0.011179853	0.008774798	0.0120608965	0.035811163	0.06975231	0.13792545	0.15692236	0.10985306	0.07723366	0.11042045	0.11475189	0.05292961	0.013121529	0.062401183	0.019793294	0.006823973	0.00024458874
a8	0.018071186	0.027974045	0.030941773	0.045839705	0.0774223	0.09288461	0.11022287	0.058430493	0.06528446	0.10208814	0.13756733	0.11090147	0.01135931	0.064409025	0.031551924	0.013477915	0.0015734222
a31	0.0011958544	0.0019466137	0.0028189886	0.0035356318	0.08987357	0.07758958	0.01188447	0.112500526	0.097047575	0.13471307	0.14752053	0.20095861	0.0029035648	0.020070378	0.049051754	0.04165971	0.0047296556
a10	0.036870856	0.017599389	0.028880052	0.06283786	0.05544375	0.09226821	0.13260344	0.05546406	0.049648482	0.0858954	0.11709848	0.07704991	0.021767898	0.09877396	0.052791394	0.013401096	0.0016057859
a31	0.039855253	0.030441096	0.03714741	0.04410237	0.047779348	0.07465951	0.087310284	0.048447974	0.0646351	0.09466801	0.12615703	0.12971286	0.0117960535	0.09332287	0.04751453	0.013640457	0.008809847
a18	0.017435746	0.0153820915	0.019278016	0.044336624	0.062035605	0.11583876	0.1343766	0.08755568	0.07397352	0.10856193	0.12101999	0.06494769	0.0139300795	0.08011881	0.03179972	0.008851508	0.0005576103
a31	0.04035554	0.043096945	0.050794944	0.061051793	0.05461927	0.06521976	0.093939744	0.038602244	0.049758263	0.077077396	0.11220129	0.1213868	0.0148546975	0.091448955	0.056524232	0.016136251	0.012931857
a37	0.02907241	0.019184269	0.024021743	0.048392527	0.052614626	0.10024612	0.12276088	0.074436225	0.06587179	0.09680966	0.11138219	0.067223035	0.01827544	0.10470495	0.050727315	0.012559436	0.0017174565
a31	0.064145885	0.055971235	0.061202247	0.07241517	0.05178942	0.056094572	0.08719606	0.034116652	0.041372433	0.062045097	0.08847734	0.095905975	0.019251237	0.09332353	0.07748341	0.01934554	0.019864192
a21	0.035461377	0.023674287	0.026410071	0.05020572	0.05114431	0.09044194	0.1092802	0.069766924	0.06349213	0.091087334	0.10341312	0.06484735	0.019538824	0.11607019	0.065563336	0.016015401	0.003587608
a28	0.07490042	0.0648736	0.070416406	0.07940418	0.051952407	0.051215004	0.08521295	0.03060761	0.035658084	0.05305221	0.07657491	0.08371426	0.024295093	0.08216323	0.08650568	0.02169941	0.027754549
a15	0.08581356	0.05142275	0.05748495	0.061869815	0.043763787	0.04946126	0.07096495	0.031639088	0.038816813	0.055991925	0.0774513	0.089417346	0.022288963	0.09643844	0.096181996	0.025531232	0.045461852
a7	0.08030742	0.044040944	0.046641864	0.049700033	0.04391847	0.054363396	0.061908986	0.041807264	0.050816465	0.06533955	0.07980871	0.08966736	0.017693026	0.10692813	0.101446666	0.024914358	0.040697277
a20	0.06634461	0.025614254	0.032591917	0.034661505	0.034594398	0.06336192	0.06167495	0.050526354	0.066668205	0.084792465	0.100196384	0.11021645	0.016792601	0.116774924	0.083252415	0.020758808	0.03117782
a31	0.052386057	0.026622703	0.03264876	0.036824185	0.04065382	0.06758551	0.06451859	0.0546027	0.07092526	0.090109155	0.105847165	0.11486358	0.012745968	0.11613646	0.07456887	0.017331723	0.021629497
a28	0.08075106	0.03749762	0.041111033	0.044100404	0.038669188	0.05852849	0.06506115	0.04388258	0.055477854	0.07424536	0.091440484	0.09654135	0.01917951	0.116553314	0.093338296	0.023951238	0.019671038
a33	0.117299505	0.05650658	0.057311215	0.055860087	0.036503438	0.039887536	0.055737056	0.027466822	0.032075237	0.043311633	0.05673261	0.0651211	0.031877574	0.08357458	0.1185261	0.04855736	0.07365154
a8	0.1455615	0.061582915	0.06004252	0.051889673	0.057042506	0.057574615	0.06053641	0.0461526	0.046027943	0.05599728	0.065708265	0.06817153	0.0160033	0.072755456	0.088012785	0.018736001	0.028204663
</S>	0.19826005	0.08097237	0.070675895	0.06032214	0.04520902	0.045828823	0.055590868	0.037275985	0.036152627	0.04242833	0.0487662	0.04917109	0.020869609	0.061041813	0.08862274	0.025736192	0.033076257
