 	l	ho	sentito	che	viene	</S>
a34	0.58541363	0.06259114	0.0026330578	0.069562525	0.02476158	0.25503805
a46	0.7340492	0.25612566	0.0024928423	0.0064914487	0.00024098977	0.000599891
a41	0.002648577	0.042585045	0.038469225	0.87553596	0.015763946	0.024997275
a19	0.0014940907	0.0046535255	0.014203372	0.9144336	0.024240628	0.04097472
a31	0.0039579663	0.008240664	0.022220364	0.49959812	0.41014537	0.055837486
a20	0.07226145	0.060692023	0.10311525	0.42894763	0.26806197	0.06692161
a31	0.0277187	0.0118508395	0.081355356	0.5325494	0.3136494	0.032876365
a24	0.032923162	0.01309448	0.029830411	0.14488527	0.4012653	0.37800142
a31	0.024899274	0.009127858	0.021430071	0.111549735	0.5499988	0.2829942
a23	0.020066224	0.011575358	0.02145405	0.10583545	0.23467772	0.6063912
a20	0.01935573	0.025753537	0.080879636	0.22170988	0.13572669	0.51657456
</S>	0.103202276	0.21967848	0.2028631	0.15008369	0.04063744	0.28353506
