 	i	bambini	piccoli	non	si	vestono	da	soli	</S>
a8	0.012571942	0.011863936	0.0016224423	0.003591337	0.013980733	0.83581316	0.012383278	0.052987933	0.05518519
a13	0.0030512493	0.0021482436	0.019759968	0.11362816	0.065102234	0.0698148	0.06852194	0.6454846	0.012488867
a0	0.0007865559	0.004056232	0.0235896	0.21180226	0.46903214	0.104527146	0.15863967	0.01845311	0.00911339
a31	0.00044193948	0.0009829206	0.10930183	0.2324718	0.3510243	0.05913251	0.19211885	0.053899646	0.0006262702
a18	0.002370143	0.001822639	0.1756855	0.34760362	0.21526423	0.11655372	0.08167478	0.058946405	7.899715e-05
a31	0.00032953342	0.0009364455	0.08826959	0.1358068	0.2553917	0.13105829	0.28346384	0.10350374	0.0012399902
a28	0.0009475293	0.0018779124	0.13582003	0.25149792	0.17227255	0.26132601	0.11938936	0.056767	0.00010168458
a20	0.00072127976	0.0021230588	0.06486459	0.09221984	0.14512756	0.16221926	0.36889097	0.15903403	0.004799353
a31	0.0016932416	0.005562043	0.07968919	0.112907015	0.14395787	0.14142628	0.35341787	0.1560819	0.00526456
a7	0.0019579085	0.0075359344	0.05989141	0.097169414	0.116510145	0.37560043	0.2920563	0.048980687	0.00029776926
a38	0.0054244865	0.012679314	0.060518593	0.07944572	0.09703585	0.13934277	0.34509185	0.23665509	0.023806294
a24	0.0039777206	0.01008215	0.06697869	0.08774109	0.104194716	0.12292017	0.32628632	0.23069172	0.047127463
a46	0.051344067	0.06054993	0.04707608	0.049403574	0.05636279	0.089815475	0.21216354	0.24569564	0.18758897
a31	0.032996003	0.047245756	0.04606205	0.0512929	0.06610277	0.1220996	0.2538753	0.24397306	0.13635257
a38	0.03648031	0.08243073	0.03728698	0.054267142	0.08127047	0.18093343	0.32369936	0.19131094	0.012320685
a31	0.023238845	0.036833644	0.048622455	0.057718683	0.072586805	0.12503278	0.27432144	0.25471002	0.10693539
a13	0.105186105	0.21429129	0.030701006	0.037997264	0.05206921	0.14777339	0.2471064	0.13352555	0.031349733
a31	0.043439355	0.059830423	0.05586294	0.05933788	0.063753694	0.08886221	0.21125606	0.2608903	0.15676716
a8	0.09725008	0.18944064	0.030622229	0.035630435	0.04416798	0.18515217	0.2715072	0.12574369	0.020485519
a20	0.015179592	0.018192004	0.05951144	0.083484896	0.089482896	0.09563981	0.22191967	0.28415322	0.13243647
a31	0.18489705	0.17251533	0.042504545	0.037946787	0.039223097	0.053740002	0.12253508	0.17578104	0.17085706
a15	0.19831702	0.26418057	0.034219068	0.031015225	0.03373388	0.07635979	0.13594702	0.13365287	0.092574574
a31	0.17791109	0.16430408	0.047228593	0.042510133	0.041704614	0.05163563	0.09512003	0.16212033	0.21746545
a20	0.17528787	0.26214537	0.030002348	0.027397128	0.031391617	0.07553344	0.1355432	0.11157414	0.15112488
a39	0.24058397	0.21944436	0.04983516	0.039044432	0.035553478	0.046130445	0.070910335	0.11568186	0.1828159
a31	0.21240579	0.19514962	0.045893587	0.03891129	0.0381953	0.046179134	0.085489355	0.13791384	0.19986205
a8	0.18787056	0.20160723	0.039645545	0.031797998	0.033508528	0.056656655	0.13539349	0.13923647	0.1742836
a31	0.2298248	0.20363252	0.056128602	0.045851476	0.043727092	0.050573125	0.076426595	0.10770028	0.18613555
a37	0.14270097	0.16346678	0.053552378	0.03979508	0.03787313	0.06791162	0.13100897	0.13890775	0.22478335
a20	0.24041745	0.2237068	0.051222205	0.03762573	0.034950104	0.043976687	0.07564912	0.112847865	0.17960404
a8	0.21611303	0.2026194	0.047917306	0.034941163	0.033677664	0.045663927	0.10290407	0.13767958	0.17848387
a20	0.24029313	0.21743152	0.05642227	0.0432414	0.040974822	0.04773677	0.073742926	0.1001729	0.17998429
a31	0.1943861	0.18129872	0.043412134	0.031605385	0.03252783	0.054799527	0.14305246	0.15256433	0.16635351
</S>	0.18637583	0.171838	0.040809963	0.029929105	0.03307162	0.065501854	0.16115214	0.15319282	0.15812865
