 	lo	ho	finito	di	fare	</S>
a8	0.89979136	0.031888384	0.00379728	0.0035550103	0.0044447593	0.05652327
a31	0.08224905	0.14912452	0.4930291	0.049269326	0.09560357	0.13072444
a20	0.0020552732	0.01961035	0.01800132	0.052182466	0.21017726	0.6979734
a24	5.083364e-05	0.0011698374	0.025611114	0.11617182	0.8050768	0.051919546
a18	0.00072508317	0.01478819	0.077603936	0.25685698	0.54727066	0.10275519
a31	0.0021631133	0.034376655	0.1509571	0.35523146	0.2813593	0.17591238
a20	0.0034781962	0.03197291	0.21416698	0.3831128	0.31609115	0.051178005
a10	0.00342116	0.01629637	0.15067318	0.18415286	0.24666263	0.39879382
a20	0.019731553	0.04936896	0.1426507	0.14549197	0.21016482	0.43259197
a7	0.014215958	0.033618078	0.13165537	0.13560753	0.23959687	0.4453062
a31	0.035764866	0.05095851	0.12067868	0.11633858	0.2149054	0.4613539
a20	0.02591906	0.030943343	0.22862509	0.1646574	0.16493212	0.384923
a18	0.12960637	0.1206121	0.28082496	0.14105771	0.12527497	0.20262393
a24	0.26956335	0.13840565	0.21369043	0.10971868	0.10079708	0.16782482
a46	0.34403443	0.14839669	0.20120855	0.09034752	0.0799809	0.13603185
a31	0.3198365	0.13657826	0.18881786	0.0921848	0.08745428	0.1751283
a33	0.2590509	0.1116879	0.21057637	0.09259235	0.09344449	0.23264797
a8	0.19861677	0.16842182	0.2888226	0.11882093	0.09774781	0.12757012
</S>	0.22358376	0.19323081	0.3054699	0.10399574	0.07414415	0.09957566
