 	volevo	Maria	domani	di	venire	da	me	</S>
a20	0.096366145	0.06666194	0.027855933	0.28878114	0.5177222	0.0006625396	0.00026670328	0.0016833629
a24	0.015767854	0.021894297	0.027677221	0.2966976	0.48709726	0.13259739	0.0047807195	0.013487577
a31	0.0011966593	0.010701256	0.01605207	0.08650457	0.7116381	0.050343994	0.024430145	0.099133156
a17	0.021214223	0.01579118	0.03267853	0.36915985	0.33359018	0.17573294	0.04160719	0.010225948
a31	0.009624999	0.05111182	0.12639901	0.117150195	0.3896365	0.16579476	0.056860033	0.083422676
a37	0.054058153	0.038396616	0.09851714	0.3782939	0.1383638	0.21507186	0.061960604	0.015337956
a10	0.0033357188	0.013002862	0.04926999	0.038829744	0.15824226	0.41578397	0.13549177	0.18604374
a31	0.0025257817	0.0053878874	0.02164108	0.015799316	0.12323726	0.4678003	0.14839855	0.21520978
a20	0.0021260963	0.0035543733	0.04612508	0.06013888	0.38294125	0.3378942	0.15251566	0.01470445
a33	0.001174494	0.0016078466	0.012927638	0.014892653	0.111900136	0.4800455	0.240703	0.13674878
a20	0.003236969	0.0031023023	0.019189924	0.01981196	0.118562676	0.38747287	0.25529483	0.19332846
a31	0.028225241	0.03436812	0.066637374	0.055412535	0.121729895	0.34977475	0.27980033	0.064051785
a5	0.012142247	0.030556535	0.066484705	0.061245307	0.14806934	0.34370008	0.2932251	0.04457676
a17	0.08104816	0.07393565	0.059037328	0.048070118	0.059658665	0.17325877	0.28405803	0.22093326
a11	0.081726044	0.07830324	0.05649941	0.046366952	0.059598036	0.18044052	0.27914092	0.2179249
a10	0.089501984	0.089217514	0.053786654	0.04281381	0.057319954	0.1838133	0.26705223	0.21649455
a31	0.06516572	0.07290492	0.049535293	0.042704698	0.08276935	0.24005948	0.26684916	0.18001138
a24	0.06906897	0.08674963	0.049553998	0.040285885	0.09338118	0.23254004	0.25347447	0.17494585
a46	0.18212913	0.1708926	0.07057904	0.037906498	0.038811047	0.0943989	0.21754391	0.18773893
a20	0.15750577	0.15175463	0.06280617	0.036121964	0.04065541	0.12393674	0.23314367	0.19407564
a31	0.13198374	0.12899177	0.05486496	0.035044324	0.049386963	0.16723527	0.23888184	0.19361113
a20	0.1343352	0.15693578	0.06264468	0.031148069	0.048501126	0.16456456	0.2329691	0.16890146
a31	0.20111667	0.19355962	0.08170747	0.03222445	0.030726686	0.08553483	0.21470833	0.16042188
</S>	0.062437348	0.15266277	0.12249076	0.043532215	0.029824926	0.09596493	0.32082742	0.17225963
