 	essendosi	vestito	</S>
a46	0.9850553	0.005951341	0.00899336
a31	0.9466776	0.05201149	0.0013109435
a18	0.41078535	0.5182785	0.070936196
a31	0.03253289	0.8374251	0.13004199
a20	0.06115489	0.8928608	0.04598436
a46	0.06547277	0.86431515	0.07021209
a20	0.031136254	0.7689475	0.19991626
a31	0.07363814	0.4581159	0.46824598
a0	0.22362043	0.27231726	0.50406235
a46	0.30787328	0.489735	0.20239173
a35	0.44084358	0.39622477	0.16293164
a46	0.4037688	0.3942606	0.20197059
a24	0.44519645	0.39079484	0.16400869
a46	0.46451604	0.39246583	0.14301819
a24	0.456324	0.40136874	0.14230727
a31	0.46392745	0.39880535	0.13726728
</S>	0.42787647	0.40549183	0.16663171
