 	vuole	andare	a	Lecce	</S>
a20	0.52875173	0.062408533	0.024235528	0.0020293011	0.3825749
a31	0.9966221	0.002317166	7.8612546e-05	3.8696202e-05	0.0009433349
a18	0.9578699	0.041972216	0.00014536803	4.478479e-06	8.1171065e-06
a46	0.71716577	0.27636814	0.005931937	0.00043503175	9.905885e-05
a37	0.37824285	0.27123806	0.23149367	0.113113604	0.005911837
a23	0.19004665	0.08756961	0.18992744	0.5158098	0.016646527
a18	0.39582708	0.07112392	0.32911432	0.18155947	0.022375248
a38	0.31396404	0.17516108	0.34360152	0.12080566	0.04646763
a37	0.25989485	0.16067061	0.19783339	0.12146875	0.2601324
a31	0.24636923	0.14990695	0.14015304	0.10313325	0.36043757
a20	0.27632737	0.14907852	0.13801903	0.09328367	0.3432914
</S>	0.289496	0.14440213	0.09488349	0.07492227	0.3962961
