 	mia	figlia	vuole	andare	</S>
a46	0.9319058	0.0018724968	0.0012003562	0.00242026	0.0626011
a31	0.6895163	0.21672006	0.08294583	0.0029062338	0.007911619
a7	0.05915802	0.15373406	0.24981897	0.4969511	0.0403378
a20	0.08680432	0.25445607	0.47455037	0.17767014	0.006519093
a31	0.19760899	0.27049464	0.4838146	0.043951757	0.00413001
a46	0.53507936	0.06694334	0.17905061	0.20913003	0.009796625
a31	0.12724265	0.30325896	0.4995896	0.05111418	0.01879455
a46	0.12620197	0.34870613	0.42289886	0.061688732	0.040504333
a31	0.052668177	0.30587956	0.36211205	0.21353753	0.06580265
a11	0.11075468	0.29526132	0.3314986	0.17704152	0.08544382
a3	0.049337827	0.2246366	0.3694551	0.24011207	0.11645838
a31	0.07369555	0.39484945	0.38943213	0.078738265	0.06328463
a27	0.09011906	0.22774814	0.28061736	0.2092994	0.19221601
a0	0.07772202	0.3515229	0.37354097	0.10970559	0.08750848
</S>	0.25194755	0.38161877	0.26924595	0.042568814	0.054618895
