 	ha	potuto	entrare	dalla	finestra	</S>
a46	0.15597749	0.7221184	0.020435536	0.08879544	0.00038849885	0.012284665
a31	0.007787943	0.15037967	0.5090414	0.31203434	0.0057619326	0.014994684
a8	0.006166635	0.044621438	0.69526654	0.21109964	0.025920618	0.016925147
a31	0.001161269	0.13071875	0.5250782	0.23535524	0.08090321	0.026783364
a15	0.0014349868	0.42071962	0.49579978	0.046739265	0.031392727	0.003913658
a13	0.0012408193	0.08785052	0.6757226	0.085174285	0.088275984	0.061735746
a24	0.002440947	0.10144444	0.56691676	0.16642496	0.11549863	0.04727423
a31	0.0100750355	0.10643901	0.21718527	0.30607066	0.23694429	0.12328574
a18	0.04911528	0.3538655	0.3795257	0.027306208	0.017439393	0.172748
a31	0.016506717	0.09154246	0.13829395	0.28508174	0.2602391	0.20833607
a20	0.0598376	0.19091323	0.20590225	0.044991866	0.033163346	0.46519178
a11	0.033118185	0.10542638	0.13141689	0.23834045	0.23032245	0.26137564
a8	0.13153505	0.16416797	0.15787488	0.20484805	0.20231558	0.13925847
a31	0.020199005	0.12889946	0.18073742	0.2453441	0.26498237	0.15983765
a8	0.059735533	0.07226649	0.08218659	0.24003865	0.29761937	0.24815337
a31	0.10890713	0.18382084	0.17977957	0.21263565	0.20907648	0.10578033
</S>	0.089550436	0.1300761	0.1494408	0.23726794	0.14397013	0.24969454
