 	non	sono	ancora	vestita	</S>
a31	0.1760761	0.001280284	0.001477095	0.03361125	0.7875553
a23	0.055549342	0.036831394	0.010079414	0.11346849	0.7840713
a31	0.00782892	0.008070365	0.007774276	0.7822536	0.1940728
a7	0.0016633809	0.01659423	0.10125877	0.79345405	0.087029554
a31	0.0076659285	0.10001265	0.23698483	0.59877425	0.056562357
a13	0.0115531515	0.05740889	0.538704	0.383247	0.009087001
a31	0.03278418	0.34425697	0.4404529	0.18019558	0.0023103284
a37	0.030828135	0.14218697	0.40689743	0.39704582	0.02304156
a18	0.06430693	0.24600403	0.45100936	0.22673634	0.011943306
a31	0.05885476	0.27824482	0.31908348	0.12684181	0.2169752
a46	0.076016866	0.26439387	0.34919435	0.12111	0.18928492
a8	0.080424175	0.34180322	0.36658666	0.13542883	0.075757146
</S>	0.24205454	0.33307046	0.27856162	0.097691305	0.04862208
