 	che	non	li	aspetiamo	</S>
a20	0.14250295	0.0008368855	0.0019911262	0.0046554958	0.85001355
a8	0.9784514	0.013369445	0.00024429054	0.000109427405	0.007825512
a7	0.502454	0.4685593	0.012464915	0.0064536734	0.010068092
a35	0.03294308	0.88902944	0.062300246	0.0057500256	0.009977188
a46	0.028658513	0.70114607	0.24795882	0.0034880468	0.018748632
a31	0.01340327	0.29279023	0.6185803	0.0051941504	0.07003209
a11	0.015834888	0.15416934	0.6100855	0.07457219	0.14533815
a31	0.026808517	0.1850774	0.40526912	0.13594534	0.24689968
a0	0.022108559	0.059123155	0.2533329	0.27516448	0.3902709
a31	0.067922935	0.19115046	0.35287005	0.22382519	0.16423132
a30	0.05631451	0.09903148	0.17517884	0.44419327	0.2252819
a0	0.06970982	0.17037873	0.38552257	0.27057105	0.10381782
a31	0.19276614	0.25437078	0.29558504	0.1857417	0.071536355
</S>	0.05793123	0.08650831	0.26215065	0.4259225	0.16748735
