 	non	so	cosa	scrive	</S>
a46	0.8782963	0.000785287	0.0018411423	0.02961858	0.08945866
a8	0.90347683	0.03354033	0.002551632	0.006524199	0.053907022
a31	0.067883894	0.07663567	0.005184702	0.003470615	0.8468251
a13	0.05264555	0.3473871	0.12866311	0.026453663	0.4448506
a31	0.020398375	0.16763932	0.44603315	0.009450566	0.35647854
a28	0.068263985	0.23007016	0.5243621	0.021303827	0.15599991
a31	0.047534596	0.16436772	0.53766066	0.0737531	0.17668389
a37	0.060498517	0.07427265	0.33298185	0.3430483	0.18919864
a31	0.02506676	0.053282663	0.1676141	0.5493675	0.20466904
a11	0.030309903	0.040324867	0.1436589	0.6683911	0.11731519
a31	0.021253055	0.026262496	0.07631697	0.74351174	0.13265575
a20	0.035502154	0.04500485	0.11320132	0.7128024	0.09348934
a31	0.03834891	0.043997694	0.10752449	0.71956515	0.09056369
</S>	0.06886601	0.04720996	0.11347481	0.7019698	0.06847948
