 	è	che	stanno	ancora	alzati	</S>
a20	0.0133537045	0.00042746766	0.00044754136	0.0030105421	0.5482257	0.43453506
a31	0.028014349	0.003994563	0.002974149	0.0034276545	0.15575725	0.805832
a20	0.00016220068	0.0001383671	9.384574e-05	0.00018439017	0.32651916	0.67290205
a31	0.00017808734	0.0008578937	0.0154708605	0.015857827	0.7351333	0.23250209
a20	0.00089208287	0.003200684	0.08021946	0.076595455	0.7584224	0.080669954
a28	0.011477788	0.05935471	0.6420343	0.04514547	0.22833	0.013657768
a31	0.0076500885	0.05573937	0.6828305	0.15184802	0.07693816	0.024993865
a29	0.010159423	0.028823059	0.25131735	0.5034399	0.050679483	0.15558079
a46	0.019713353	0.05651583	0.39238518	0.46166775	0.04850546	0.021212343
a31	0.020665914	0.078594826	0.3624545	0.3532077	0.034795545	0.15028158
a20	0.039272424	0.07705141	0.18757781	0.20764159	0.051120758	0.437336
a31	0.094344795	0.18179122	0.22480527	0.17225605	0.03998385	0.2868188
a39	0.09670742	0.17194873	0.21448073	0.15461083	0.06081406	0.30143827
a20	0.14586757	0.19029218	0.1627764	0.18378083	0.08650366	0.23077941
a8	0.2506563	0.2852279	0.19835393	0.13109244	0.05943489	0.075234555
a20	0.28616303	0.2780298	0.19104755	0.104810886	0.06173725	0.078211434
a24	0.36139026	0.27402237	0.16724028	0.09533827	0.047870193	0.05413861
a46	0.3614807	0.2783377	0.17519318	0.09837385	0.041230828	0.04538377
a8	0.34565908	0.28159726	0.18522312	0.10352787	0.03950049	0.04449214
a23	0.32022214	0.28958586	0.19085264	0.09695213	0.048366323	0.054020893
a8	0.331507	0.2866755	0.1912864	0.10152984	0.041803647	0.04719766
</S>	0.32398883	0.29017198	0.1932531	0.09784815	0.04464154	0.05009648
