 	questa	canzone	è	scritta	da	un	poeta	nostro	</S>
a31	0.00036050237	0.0028058328	0.00036172598	0.0005154359	0.0009609006	0.0026002626	2.1080676e-05	0.97092795	0.021446379
a24	0.012623338	0.0028848697	0.008976223	0.010108065	0.071212135	0.7102166	0.12548663	0.0318124	0.026679756
a31	0.029383998	0.080225244	0.0036516753	0.0051819417	0.07015525	0.3471693	0.3902064	0.0685086	0.0055176374
a20	0.04896688	0.014772656	0.004369455	0.0058723725	0.15509489	0.17366791	0.018921347	0.5773944	0.00093999854
a0	0.0323744	0.026913447	0.00782131	0.015119251	0.11548333	0.5053735	0.18375437	0.109224856	0.003935608
a13	0.0036164129	0.0030863513	0.0020080896	0.00446904	0.06080204	0.36213794	0.5325942	0.0070608556	0.024225038
a31	0.0018504994	0.0011332241	0.0024352814	0.0055589713	0.062553406	0.3003474	0.60016143	0.0017435136	0.024216302
a24	0.0036397919	0.0011080473	0.0049258126	0.013259168	0.1168335	0.37837854	0.46685296	0.007432132	0.007570086
a31	0.014003846	0.003863628	0.0073185344	0.01629365	0.059977964	0.13099918	0.6586754	0.0062676994	0.10260007
a37	0.042565364	0.017384067	0.014437444	0.037571542	0.11474798	0.20332418	0.49801487	0.045366284	0.02658835
a31	0.0922934	0.0337961	0.016963629	0.03519786	0.062179748	0.09178885	0.43129125	0.038490348	0.19799884
a20	0.17672983	0.14797568	0.02570559	0.05720149	0.0770788	0.081656516	0.20316856	0.18120956	0.049274005
a31	0.29864356	0.20154539	0.039287694	0.06594011	0.041369237	0.03926784	0.124770336	0.08098514	0.108190626
a39	0.2215416	0.35818124	0.03595603	0.0557442	0.029817237	0.019710135	0.04881498	0.18061155	0.049623057
a31	0.31239223	0.24778432	0.060375463	0.08042584	0.044190932	0.03991343	0.082628205	0.059373144	0.0729165
a20	0.21981554	0.41022402	0.036214627	0.04350839	0.0189289	0.017947005	0.059913393	0.11857774	0.07487039
a31	0.30313706	0.2885633	0.07104237	0.08464181	0.03602938	0.035595093	0.071678534	0.05536533	0.053947106
a20	0.21272202	0.40588278	0.047882337	0.052096277	0.018969744	0.018822946	0.056222167	0.12337098	0.06403077
a39	0.3049491	0.29125044	0.07724923	0.088881955	0.037302602	0.03433902	0.06320708	0.05418012	0.048640445
a31	0.29044637	0.293999	0.07297501	0.07897029	0.04688	0.04888725	0.06857564	0.046639554	0.05262683
a46	0.2621335	0.36141077	0.050731484	0.04807743	0.015647028	0.020046815	0.094807625	0.06949345	0.077651925
a31	0.28521162	0.28515887	0.08216931	0.09081273	0.042358737	0.046666205	0.074803025	0.04573219	0.04708733
a18	0.23625152	0.33362588	0.06945272	0.06381161	0.01910848	0.024870727	0.0969626	0.0918796	0.0640368
a31	0.278287	0.27914658	0.087596454	0.095660426	0.04177803	0.046358787	0.078060426	0.046779364	0.046332885
a8	0.23064205	0.2982209	0.08333934	0.07579469	0.023053946	0.030893162	0.10537512	0.0944607	0.058220085
</S>	0.2549037	0.2320119	0.094231576	0.11902857	0.051042233	0.058959726	0.08887748	0.05802217	0.042922635
